interval,IPC
0,1.9385599999999998
1,2.0117599999999998
2,2.28273
3,2.4581
4,1.89609
5,1.92356
6,1.8231099999999998
7,1.84155
8,1.4287100000000001
9,1.36704
10,1.76003
11,1.54431
12,1.6667599999999998
13,1.67452
14,1.92202
15,1.7738099999999999
16,2.14805
17,1.6397
18,1.86038
19,1.9081
20,1.78171
21,1.27916
22,1.43918
23,1.29894
24,1.62663
25,1.3385799999999999
26,1.67805
27,1.5520100000000001
28,1.82065
29,1.45861
30,1.45337
31,1.18964
32,1.3119299999999998
33,1.5875299999999999
34,1.4678799999999999
35,1.53488
36,1.67271
37,1.6530599999999998
38,1.3735600000000001
39,1.65956
40,1.4177799999999998
41,1.77788
42,1.43147
43,1.46509
44,1.96279
45,1.78772
46,2.11623
47,1.1738
48,2.00469
49,1.4503
50,1.78151
51,1.33342
52,1.47539
53,1.3261399999999999
54,1.6402700000000001
55,1.8373
56,1.4960200000000001
57,1.54715
58,1.2383
59,1.4922799999999998
60,1.4961200000000001
61,1.3551
62,1.39727
63,1.5526200000000001
64,1.7984099999999998
65,1.6793900000000002
66,1.4363299999999999
67,1.32005
68,1.4872299999999998
69,1.38034
70,1.73633
71,1.25727
72,1.5779299999999998
73,1.69114
74,1.7074599999999998
75,1.68252
76,1.41218
77,1.73328
78,1.419
79,1.80151
80,1.61008
81,1.57934
82,1.8434599999999999
83,1.7117099999999998
84,1.65097
85,1.62671
86,1.54789
87,1.41625
88,1.53119
89,1.35226
90,1.4077
91,1.8003
92,1.76682
93,1.9182099999999997
94,1.52837
95,1.45405
96,1.42678
97,1.6205
98,1.54716
99,1.68527
100,1.45945
101,2.00547
102,1.8476700000000001
103,1.75635
104,1.5480399999999999
105,1.4819
106,1.7494599999999998
107,1.53004
108,1.6458400000000002
109,1.3430799999999998
110,1.7032200000000002
111,1.7612
112,1.62963
113,1.4001700000000001
114,1.37463
115,1.4354
116,1.46431
117,1.6531799999999999
118,1.36364
119,1.59867
120,1.8063200000000001
121,1.8743299999999998
122,1.26701
123,1.48286
124,1.52921
125,1.41886
126,1.62952
127,1.4692100000000001
128,1.6540400000000002
129,1.5075399999999999
130,1.73006
131,1.87989
132,1.45823
133,1.74436
134,1.3104799999999999
135,1.48079
136,1.67415
137,1.61542
138,1.77715
139,1.6860400000000002
140,1.74984
141,1.5811
142,1.64199
143,1.56049
144,1.51882
145,1.52959
146,1.30265
147,2.12525
148,2.2902400000000003
149,2.00327
150,2.44943
151,1.91353
152,1.8165200000000001
153,1.86812
154,1.74836
155,1.76355
156,1.53219
157,1.84103
158,1.58006
159,1.46479
160,1.4849700000000001
161,1.48479
162,1.83109
163,1.59408
164,1.73934
165,1.9752599999999998
166,2.2415599999999998
167,1.8781400000000001
168,1.7696900000000002
169,1.66248
170,1.55811
171,1.56766
172,1.6989900000000002
173,1.39555
174,1.3685200000000002
175,1.55576
176,1.8233099999999998
177,2.21788
178,1.77915
179,1.46291
180,1.35486
181,1.8047900000000001
182,1.63644
183,1.5416
184,1.49207
185,1.2664799999999998
186,2.17599
187,2.02664
188,1.5165600000000001
189,1.3599
190,1.61724
191,1.63955
192,1.7489400000000002
193,1.43093
194,1.25095
195,1.76735
196,1.85245
