interval,hitsperOccupL3(KB)
0,317.1220238095238
1,218.53333333333333
2,573.1599162011173
3,683.9465206185567
4,688.3896396396397
5,542.9849137931035
6,973.625
7,866.6011597938144
8,401.6603260869565
9,200.02573529411765
10,283.8087606837607
11,632.858606557377
12,724.4241898148148
13,188.38755841121494
14,345.72080291970804
15,851.0192757009346
16,1393.5795454545455
17,475.045405982906
18,398.45687984496124
19,190.49491279069767
20,1035.9909539473683
21,36.275
22,553.2335069444445
23,533.8741134751773
24,926.78125
25,156.11588541666666
26,30.867373511904763
27,906.3149752475248
28,426.52920081967216
29,90.76821043165468
30,1140.3663793103449
31,1080.140306122449
32,663.3233173076923
33,866.313164893617
34,88.88685344827586
35,830.127688172043
36,793.2689144736842
37,364.50804455445547
38,753.1904069767442
39,682.061095505618
40,855.0639204545455
41,683.9869505494505
42,451.1448317307692
43,598.952356557377
44,487.508389261745
45,200.8446100917431
46,894.7544642857143
47,4967.005208333333
48,700.0157828282828
49,674.1051136363636
50,691.1291666666667
51,590.6180555555555
52,92.07523148148148
53,548.6104166666667
54,214.11175847457628
55,961.7387820512821
56,127.58215725806451
57,126.26649305555556
58,427.8411458333333
59,538.141571969697
60,400.8759124087591
61,153.71875
62,577.0794392523364
63,34826.5625
64,366.6298076923077
65,186.08157169117646
66,119.45892857142857
67,84.08508211678833
68,472.0061728395062
69,150.0700158227848
70,462.4869791666667
71,672.1345338983051
72,803.9197530864197
73,288.5946856287425
74,291.5712890625
75,422.5986842105263
76,92.5259375
77,147.5400528169014
78,75.38113839285714
79,251.76988636363637
80,252.0125
81,63.71361301369863
82,590.647095959596
83,674.8375
84,665.8139534883721
85,235.33467741935485
86,419.41152597402595
87,399.092987804878
88,3904.2897727272725
89,264.520656779661
90,540.7301682692307
91,588.6021505376344
92,326.4265422077922
93,529.5486111111111
94,4815.234375
95,693.5299295774648
96,424.95081018518516
97,457.9878048780488
98,341.25
99,95.390625
100,421.59086538461537
101,183.58059210526315
102,517.7727754237288
103,378.5847355769231
104,437.94690860215053
105,70.51224662162163
106,138.71941489361703
107,317.46463815789474
108,94.21619318181818
109,64.28575721153847
110,211.96639784946237
111,226.52772177419354
112,512.7192164179105
113,116.53125
114,354.96491228070175
115,168.6295405982906
116,648.8319672131148
117,481.23828125
118,344.21875
119,457.96979166666665
120,319.5682123655914
121,434.5625
122,287.76088483146066
123,630.0082908163265
124,87.10166666666667
125,596.7418032786885
126,467.5245786516854
127,299.5997807017544
128,274.19444444444446
129,308.21390086206895
130,3182.9166666666665
131,452.8584558823529
132,743.6400462962963
133,445.1637126865672
134,281.67880154639175
135,441.1742584745763
136,2098.440340909091
137,460.69542253521126
138,439.40824468085106
139,209.65079365079364
140,368.39732142857144
141,3892.203125
142,355.38854166666664
143,504.277052238806
144,510.58098591549293
145,41.73461538461538
146,127.30997983870968
147,476.27840909090907
148,318.05639367816093
149,336.68170103092785
150,221.1495786516854
151,594.0392441860465
152,90.62711864406779
153,682.6851851851852
154,183.23397435897436
155,1739.4556451612902
156,366.9765625
157,1210.9943181818182
158,645.883152173913
159,339.08088235294116
160,405.6529255319149
161,90.5625
162,259.07762096774195
163,131.54485294117646
164,578.2975543478261
165,335.611865942029
166,591.6858552631579
167,140.04413659793815
168,398.4717987804878
169,590.703125
170,463.8817934782609
171,209.425625
172,361.4150815217391
173,628.0815972222222
174,268.87776898734177
175,310.5826480263158
176,240.76736111111111
177,597.9494863013699
178,595.6477272727273
179,325.00677083333335
180,179.57010135135135
181,323.0478515625
182,93.83522727272727
183,521.7599431818181
184,933.006161971831
185,1062.6678240740741
186,931.375
187,230.61458333333334
188,243.39809782608697
189,542.3803191489362
190,165.31380208333334
191,304.86339285714286
192,372.1784274193548
193,695.3663194444445
194,798.3236607142857
195,188.96375
196,1191.65234375
197,646.1194852941177
198,356.08076923076925
199,508.9428571428571
200,808.4611742424242
