interval,hitsperOccupL3(KB)
0,4290.021551724138
1,3616.0112359550562
2,4640.546875
3,4185.732323232323
4,4375.125
5,4169.501201923077
6,3547.892441860465
7,3462.9464285714284
8,3584.303435114504
9,3393.6755952380954
10,2896.988224637681
11,2841.490963855422
12,2305.1962209302324
13,2280.5379746835442
14,2097.049689440994
15,1559.375
16,2195.223445595855
17,2079.640718562874
18,1653.6039402173913
19,1641.453313253012
20,1639.8657852564102
21,2000.4916666666666
22,1224.7369462025317
23,2555.9309210526317
24,2376.9430693069307
25,2171.1988636363635
26,1903.76708984375
27,1816.9365157480315
28,1574.2578125
29,1471.0276845637584
30,1217.0488165680474
31,1457.3822773972602
32,1120.809811827957
33,1355.2367424242425
34,1031.3131476683939
35,1159.9388966480446
36,1031.1116536458333
37,985.420918367347
38,1287.7741228070176
39,1068.4460382513662
40,899.9497487437186
41,770.5353139013453
42,763.1083333333333
43,980.6017080745341
44,845.0952540106952
45,817.2390919811321
46,731.8191964285714
47,760.1820652173913
48,712.3298891129032
49,680.9972052845528
50,775.6169527896996
51,502.9916857798165
52,628.2989926739926
53,794.375
54,759.9633152173913
55,788.0630165289256
56,675.4464285714286
57,787.8731142241379
58,713.0107931726908
59,637.8754578754579
60,683.8855888429752
61,681.062257751938
62,787.2174329501916
63,623.2960304054054
64,262.31985294117646
65,609.3112664473684
66,757.2916666666666
67,604.2368861607143
68,588.0832435344828
69,1965.408163265306
70,2984.6927966101694
71,2686.6857394366198
72,2418.9977134146343
73,2211.9993093922653
74,2372.7705792682927
75,2168.2759831460676
76,2166.1543715846997
77,1688.3688340807175
78,1657.169976635514
79,1752.3473502304148
80,1485.6125
81,1570.2786796536795
82,2950.730140186916
83,816.5413851351351
84,1095.6523722627737
85,1396.299019607843
86,1247.0710332103322
87,1248.3029026217228
88,1195.6796875
89,990.6164215686274
90,1116.5979853479853
91,1062.7330508474577
92,991.9602272727273
93,765.0754716981132
94,878.5990287162163
95,924.3665540540541
96,924.0026815181518
97,916.4551445578231
98,804.7532894736842
99,892.3353607382551
100,858.8773148148148
101,866.2651384083046
102,714.775674273859
103,768.6862024221454
104,744.4965277777778
105,733.0278010033445
106,773.0631744604317
107,801.1845128676471
108,600.1372832369942
109,403.7575692041523
110,758.0261479591836
111,672.7381921824104
112,735.3049307958478
113,556.5441176470588
114,514.5483934169279
115,617.6590106007067
116,564.7134515570934
117,575.53125
118,521.1094798657718
119,589.8784289276808
120,683.31953125
121,617.8451849489796
122,646.4874031007752
123,651.2185801630435
124,625.0956811797753
125,652.1377652519894
126,667.9131652661065
127,601.6847451790634
128,2085.385101010101
129,409.3549107142857
130,453.1498344370861
131,505.1998141263941
132,474.2852145522388
133,377.219298245614
134,450.8744855967078
135,475.9731735159817
136,318.35252192982455
