interval,IPC
0,2.38077
1,2.54279
2,2.4997599999999998
3,2.5012
4,2.54089
5,2.5180000000000002
6,2.48087
7,2.5340000000000003
8,2.5111
9,2.4613099999999997
10,2.4569
11,2.48316
12,2.4755
13,2.47262
14,2.4841599999999997
15,2.48127
16,2.50383
17,2.48124
18,2.4637700000000002
19,2.45465
20,2.4884
21,2.52644
22,2.4828200000000002
23,2.46041
24,2.45735
25,2.4668799999999997
26,2.4819
27,2.51254
28,2.44829
29,2.47087
30,2.46964
31,2.4534700000000003
32,2.4913
33,2.50972
34,2.47778
35,2.46847
36,2.47277
37,2.45277
38,2.51047
39,2.47028
40,2.4708200000000002
41,2.4607900000000003
42,2.43874
43,2.43846
44,2.4425
45,2.49773
46,2.47478
47,2.44121
48,2.45224
49,2.44509
50,2.46108
51,2.45611
52,2.42279
53,2.49424
54,2.4767799999999998
55,2.4632400000000003
56,2.44
57,2.46212
58,2.45595
59,2.46144
60,2.4781400000000002
61,2.4971900000000002
62,2.4664599999999997
63,2.45343
64,2.4605900000000003
65,2.4732
66,2.3772
67,2.47253
68,2.46208
69,2.50287
70,2.4884
71,2.4699400000000002
72,2.45037
73,2.46371
74,2.47345
75,2.4712400000000003
76,2.4632400000000003
77,2.44496
78,2.51145
79,2.48257
80,2.4081
81,2.4461
82,2.44665
83,2.45268
84,2.43813
85,2.43007
86,2.3452900000000003
87,2.4803599999999997
88,2.49801
89,2.4847799999999998
90,2.46442
91,2.46143
92,2.44515
93,2.44021
