interval,hitsperOccupL3(KB)
0,429.5
1,169.67578125
2,252.6375
3,171.90625
4,153.88352272727272
5,208.85267857142858
6,152.20625
7,282.05625
8,432.4895833333333
9,131.59375
10,197.75
11,173.02604166666666
12,118.87890625
13,181.7125
14,359.875
15,71.83413461538461
16,201.14375
17,173.75520833333334
18,404.359375
19,473.203125
20,155.375
21,222.8359375
22,406.90625
23,99.3125
24,294.21875
25,1236.75
26,276.9609375
27,160.75
28,201.34375
29,194.18125
30,133.34375
31,189.56875
32,124.76171875
33,271.546875
34,121.48125
35,178.425
36,69.10833333333333
37,74.68125
38,260.1041666666667
39,295.75
40,636.4375
41,1116.625
42,49.995065789473685
43,83.8125
44,142.07421875
45,102.7840909090909
46,255.20625
47,110.921875
48,463.578125
49,169.74553571428572
50,224.53125
51,179.671875
52,136.66796875
53,168.5859375
54,173.0625
55,118.60763888888889
56,131.42410714285714
57,67.73263888888889
58,368.75
59,76.02083333333333
60,77.32291666666667
61,288.2265625
62,274.3125
63,247.76041666666666
64,148.453125
65,154.53125
66,388.984375
67,94.29545454545455
68,65.79947916666667
69,137.38125
70,96.96701388888889
71,197.11328125
72,inf
73,73.4140625
74,231.28125
75,258.09375
76,60.3359375
77,161.73958333333334
78,177.35416666666666
79,inf
80,173.78125
81,inf
82,150.71875
83,inf
84,inf
85,161.25
86,174.1875
87,93.0
88,inf
89,inf
90,inf
91,59.6875
92,128.46875
93,141.59375
94,inf
95,29.65
96,148.4375
97,147.6875
98,166.875
99,162.125
100,140.90625
101,143.4375
102,71.421875
103,162.53125
104,186.34375
105,113.671875
106,inf
107,177.21875
108,inf
109,inf
110,148.25
111,137.84375
112,169.09375
113,inf
114,145.1875
115,148.5625
116,inf
117,202.3125
118,73.125
119,58.135416666666664
