interval,hitsL3
0,52568.0
1,150573.0
2,1360920.0
3,172064.0
4,213391.0
5,532383.0
6,697534.0
7,2008460.0
8,507269.0
9,1060900.0
10,682988.0
11,237858.0
12,305703.0
13,187246.0
14,208978.0
15,1679330.0
16,759004.0
17,744260.0
18,1599250.0
19,569549.0
20,1185160.0
21,546254.0
22,484597.0
23,1934820.0
24,1773510.0
25,2141320.0
26,1416380.0
27,1120680.0
28,615167.0
29,339309.0
30,1213390.0
31,689212.0
32,1134550.0
33,1128720.0
34,1781570.0
35,1162430.0
36,303932.0
37,695661.0
38,2512940.0
39,2041990.0
40,1372630.0
41,1083180.0
42,1714930.0
43,536962.0
44,1930050.0
45,2573670.0
46,2065380.0
47,1404600.0
48,860739.0
49,1651430.0
50,483531.0
51,997655.0
52,1172000.0
53,957850.0
54,1613100.0
55,739037.0
56,2379960.0
57,551828.0
58,1767260.0
59,2546350.0
60,1030140.0
61,1559630.0
62,796012.0
63,1652020.0
64,665564.0
65,1329230.0
66,1297740.0
67,1271280.0
68,1548880.0
69,995366.0
70,1807780.0
71,1577670.0
72,1243030.0
73,994672.0
74,1225280.0
75,1534310.0
76,1106290.0
77,1759950.0
78,768369.0
79,1485480.0
80,855321.0
81,1749270.0
82,1194620.0
83,1196480.0
84,1578790.0
85,1277700.0
86,1358790.0
87,811054.0
88,2101860.0
89,663107.0
90,1860250.0
91,840520.0
92,1490520.0
93,1195660.0
94,1705660.0
95,2669110.0
96,879496.0
97,1897080.0
98,676367.0
99,1875500.0
100,881757.0
101,936493.0
102,2005280.0
103,1528450.0
104,1819390.0
105,907074.0
106,1846910.0
107,665670.0
108,1590780.0
109,1037620.0
110,1335980.0
111,1527970.0
112,900670.0
113,1833030.0
