interval,hitsperOccupL3(KB)
0,inf
1,1413.6640625
2,387.7043269230769
3,513.4650735294117
4,338.21875
5,570.4625
6,1305.4375
7,911.43359375
8,453.4765625
9,1432.7130681818182
10,517.5290178571429
11,2577.234375
12,202.51988636363637
13,1662.078125
14,246.54166666666666
15,1293.6796875
16,inf
17,7.355221518987341
18,182.525390625
19,2832.559027777778
20,152.79206730769232
21,314.1442307692308
22,160.55769230769232
23,394.9010416666667
24,809.61875
25,66.2578125
26,236.33522727272728
27,24.61221590909091
28,33509.791666666664
29,112.58303571428571
30,528.0769230769231
31,141.08912037037038
32,251.41458333333333
33,1029.55625
34,2129.6458333333335
35,25.40073529411765
36,20.010416666666668
37,175.05
38,139.68359375
39,5207.729166666667
40,477.84375
41,308.79741379310343
42,133.5380859375
43,198.70625
44,327.4298780487805
45,273.30902777777777
46,887.3839285714286
47,276.25
48,67.40625
49,305.5173611111111
50,408.44375
51,57.503324468085104
52,2817.96875
53,162.15625
54,707.534375
55,439.8359375
56,357.96484375
57,1078.5625
58,1634.5714285714287
59,467.6171875
60,388.09722222222223
61,20.08018092105263
62,224.93229166666666
63,147.59375
64,73.18402777777777
65,212.8237951807229
66,1788.2
67,63.83664772727273
68,505.2734375
69,232.55902777777777
70,363.640625
71,872.2356770833334
72,909.7786458333334
73,1448.40625
74,246.09375
75,604.1588541666666
76,1059.725
77,55.1328125
78,314.1875
79,43.19959677419355
80,inf
81,258.3645833333333
82,244.3125
83,699.375
84,49.9116512345679
85,1341.1284722222222
86,205.20572916666666
87,427.075
88,98.90625
89,149.25325520833334
90,256.3453947368421
91,691.21875
92,1690.4017857142858
93,2055.1420454545455
94,169.84072580645162
95,123.35532407407408
96,141.07291666666666
97,1940.8020833333333
98,103.27403846153847
99,67.09337797619048
100,364.11658653846155
101,309.40625
102,19.254464285714285
103,36.9375
104,31.29
105,215.44010416666666
106,89.78385416666667
107,282.765625
108,290.09027777777777
109,362.8392857142857
110,75.06007543103448
111,346.22291666666666
112,2192.6
113,183.52302631578948
114,189.24278846153845
115,1407.3125
