interval,hitsL3
0,71050.0
1,29566.0
2,27728.0
3,32045.0
4,27147.0
5,27893.0
6,24486.0
7,28897.0
8,25867.0
9,25531.0
10,26012.0
11,27806.0
12,29274.0
13,37244.0
14,33092.0
15,26946.0
16,31510.0
17,30729.0
18,62008.0
19,4589880.0
20,5817590.0
21,3236520.0
22,268666.0
23,129627.0
24,50721.0
25,47452.0
26,46499.0
27,42693.0
28,42914.0
29,41458.0
30,41953.0
31,36774.0
32,37271.0
33,38427.0
34,36128.0
35,37895.0
36,37798.0
37,36778.0
38,35618.0
39,35092.0
40,38060.0
41,35458.0
42,35796.0
43,34237.0
44,36343.0
45,33938.0
46,33660.0
47,33027.0
48,34729.0
49,33972.0
50,35052.0
51,33691.0
52,34557.0
53,36740.0
54,36042.0
55,25532.0
56,127066.0
57,5079250.0
58,5828890.0
59,5772380.0
60,5784890.0
61,5768670.0
62,5769390.0
63,1876620.0
64,103817.0
65,490398.0
66,176088.0
67,222048.0
68,38969.0
69,4223180.0
70,5581240.0
71,5681220.0
72,5694890.0
73,5636040.0
74,314384.0
75,474625.0
76,173451.0
77,220898.0
78,78722.0
79,451037.0
80,188728.0
81,250263.0
82,70712.0
83,85648.0
84,486948.0
85,184490.0
86,189277.0
87,112096.0
88,318855.0
89,359393.0
90,167104.0
91,186876.0
92,74738.0
93,268554.0
94,343871.0
95,207716.0
96,81330.0
97,113482.0
98,460943.0
99,171039.0
100,221868.0
101,76977.0
102,384038.0
103,242052.0
