interval,hitsL3
0,13041.0
1,48844.0
2,18392.0
3,14569.0
4,404732.0
5,184282.0
6,161794.0
7,183712.0
8,128493.0
9,205314.0
10,197487.0
11,202511.0
12,122456.0
13,202700.0
14,178353.0
15,194918.0
16,168312.0
17,211471.0
18,162490.0
19,197406.0
20,220170.0
21,187702.0
22,177352.0
23,222619.0
24,257217.0
25,244837.0
26,280484.0
27,280484.0
28,349913.0
29,297143.0
30,666498.0
31,83756.0
32,346474.0
33,181112.0
34,163664.0
35,138250.0
36,178145.0
37,159274.0
38,157353.0
39,175214.0
40,151961.0
41,170212.0
42,188900.0
43,168557.0
44,174194.0
45,169464.0
46,253016.0
47,236284.0
48,201652.0
49,148420.0
50,253295.0
51,263462.0
52,287314.0
53,330707.0
54,324485.0
55,269469.0
56,389504.0
57,329561.0
58,925821.0
59,521222.0
60,129512.0
61,105835.0
62,126568.0
63,179440.0
64,106337.0
65,217864.0
66,143896.0
67,108456.0
68,120248.0
69,98136.0
70,140788.0
71,122912.0
72,82685.0
73,162125.0
74,148132.0
75,124769.0
76,137537.0
77,148151.0
78,107572.0
79,153933.0
80,124753.0
81,176512.0
82,107453.0
83,197472.0
84,132559.0
85,198047.0
86,119917.0
87,111961.0
88,106459.0
89,189238.0
90,146334.0
91,98225.0
92,160724.0
93,228164.0
94,107226.0
95,181217.0
96,174365.0
97,101116.0
98,132900.0
99,154073.0
100,89441.0
101,211216.0
102,128940.0
103,94586.0
104,137492.0
105,229205.0
106,141075.0
107,189828.0
108,138846.0
109,151975.0
110,112986.0
111,110780.0
112,155248.0
113,126479.0
114,118271.0
115,182329.0
116,107469.0
117,103807.0
118,122994.0
119,94409.0
120,182326.0
121,127493.0
122,186780.0
123,134706.0
124,174550.0
125,119934.0
126,91372.0
127,100635.0
128,160290.0
129,108507.0
130,165428.0
131,127487.0
132,161302.0
133,142799.0
134,97714.0
135,167857.0
136,90069.0
137,636604.0
138,57267.0
139,78452.0
140,231115.0
141,159128.0
142,49127.0
143,45349.0
144,177938.0
145,89252.0
146,110805.0
147,53381.0
