interval,IPC
0,2.3664400000000003
1,2.68306
2,3.3777800000000004
3,3.38489
4,3.35195
5,3.37995
6,3.3520300000000005
7,3.37192
8,3.36898
9,3.37964
10,2.8012200000000003
11,2.41198
12,2.3649299999999998
13,2.39508
14,2.35376
15,2.35966
16,2.40988
17,2.4087
18,2.39521
19,2.3851
20,1.92671
21,2.63085
22,2.68827
23,2.6745900000000002
24,2.68317
25,2.64738
26,2.7378400000000003
27,2.79291
28,2.8536
29,2.82544
30,2.82986
31,2.76796
32,2.65402
33,2.64832
34,2.64757
35,2.64553
36,2.6497900000000003
37,2.64407
38,2.60635
39,2.8468400000000003
40,3.37285
41,3.34427
42,3.35503
43,3.3648599999999997
44,3.3570300000000004
45,3.3704300000000003
46,3.34292
47,3.3672
48,2.6677
49,2.36299
50,2.39087
51,2.36743
52,2.35935
53,2.34076
54,2.4007
55,2.3841799999999997
56,2.37679
57,2.38498
58,2.45519
59,2.79956
60,2.7770200000000003
61,2.78799
62,2.80185
63,2.78214
64,2.7587
65,2.7793099999999997
66,2.80242
67,2.81446
68,2.8036
69,2.0158
70,1.6699400000000002
71,3.0985400000000003
72,3.36993
73,3.37899
74,3.3814699999999998
75,3.4114400000000002
76,3.40824
77,3.36855
78,3.40076
79,3.0983400000000003
80,2.37883
81,2.3871
82,2.37448
83,2.39624
84,2.37473
85,2.3747700000000003
86,2.35955
87,2.3748099999999996
88,2.39197
89,2.38829
90,2.85387
91,2.9961
92,2.9577299999999997
93,2.9828200000000002
94,2.97991
95,2.9360000000000004
96,2.97169
97,2.97913
98,2.97674
99,2.99038
100,1.68567
101,1.9353599999999997
102,3.36899
103,3.36924
104,3.37475
105,3.3904
