interval,hitsL3
0,83547.0
1,489491.0
2,1711320.0
3,1812590.0
4,1723760.0
5,1742220.0
6,2022960.0
7,1754850.0
8,1762590.0
9,1748190.0
10,5354580.0
11,7353970.0
12,8619850.0
13,7073780.0
14,6917990.0
15,7886990.0
16,11417500.0
17,8843370.0
18,10370600.0
19,7295100.0
20,4668460.0
21,2343980.0
22,2275520.0
23,2321240.0
24,2299880.0
25,2281680.0
26,2387120.0
27,2462110.0
28,2440150.0
29,2522800.0
30,2496290.0
31,991724.0
32,25035.0
33,27974.0
34,26265.0
35,25873.0
36,26353.0
37,23296.0
38,5246.0
39,825666.0
40,1725740.0
41,1731340.0
42,1839450.0
43,1824540.0
44,1735320.0
45,1949190.0
46,1867700.0
47,2152700.0
48,6123090.0
49,9401260.0
50,7341710.0
51,8286540.0
52,6969270.0
53,6967640.0
54,7509630.0
55,8278550.0
56,7368360.0
57,7629670.0
58,5039910.0
59,2466460.0
60,2537620.0
61,2574130.0
62,2467590.0
63,2491080.0
64,2673440.0
65,2490390.0
66,2562010.0
67,2497130.0
68,1998830.0
69,51904.0
70,816859.0
71,1782400.0
72,1873730.0
73,1770260.0
74,1849060.0
75,2626220.0
76,2800810.0
77,1918050.0
78,1726580.0
79,5089450.0
80,9013200.0
81,7056440.0
82,7237880.0
83,7664430.0
84,7018530.0
85,7038240.0
86,9549320.0
87,7157970.0
88,7962660.0
89,4490070.0
90,2281940.0
91,2794300.0
92,2268750.0
93,2613030.0
94,2200680.0
95,2279830.0
96,2264540.0
97,2281390.0
98,2318250.0
99,873156.0
100,909824.0
101,1479160.0
102,2292570.0
103,1714160.0
104,2286040.0
