interval,hitsL3
0,39148.0
1,123962.0
2,240796.0
3,1234940.0
4,173707.0
5,722207.0
6,1819910.0
7,1285550.0
8,2018090.0
9,1180750.0
10,2218270.0
11,882268.0
12,2329570.0
13,726352.0
14,2002330.0
15,667949.0
16,1536940.0
17,710704.0
18,2124520.0
19,819375.0
20,1509150.0
21,926208.0
22,2885220.0
23,529227.0
24,2096850.0
25,979694.0
26,1694980.0
27,1829390.0
28,859388.0
29,2173070.0
30,810110.0
31,2750100.0
32,491614.0
33,1820540.0
34,1731680.0
35,939595.0
36,2806280.0
37,492465.0
38,2145620.0
39,1055290.0
40,1777730.0
41,1428480.0
42,1112120.0
43,2510460.0
44,545480.0
45,2259480.0
46,1086020.0
47,1422620.0
48,1770740.0
49,935136.0
50,1524260.0
51,819306.0
52,2665860.0
53,572595.0
54,1928840.0
55,1324460.0
56,982119.0
57,2667690.0
58,519825.0
59,1824760.0
60,559241.0
61,2414610.0
62,731616.0
63,1551860.0
64,1914600.0
65,869395.0
66,2545000.0
67,409790.0
68,1609190.0
69,771944.0
70,1469740.0
71,1107830.0
72,1305170.0
73,2342120.0
74,656659.0
75,2239860.0
76,784957.0
77,1630520.0
78,1519800.0
79,787133.0
80,738255.0
81,1158310.0
82,3184210.0
83,1288670.0
84,2153690.0
85,1076010.0
86,1361240.0
87,2473280.0
88,338639.0
89,1470840.0
90,902439.0
91,2414020.0
92,1182310.0
93,1079440.0
94,2025220.0
95,571450.0
96,2693590.0
97,703778.0
98,1118880.0
99,311894.0
100,2095900.0
101,874431.0
102,1603980.0
103,1475510.0
104,1882120.0
105,2394730.0
106,837720.0
107,1691940.0
108,1732820.0
109,1237580.0
110,1032310.0
111,1209110.0
112,2671860.0
113,455178.0
114,3284110.0
115,1088120.0
116,1116590.0
117,1867230.0
118,348389.0
119,889134.0
120,780772.0
121,2594220.0
122,1424850.0
123,1866940.0
124,1769320.0
125,714439.0
126,2407490.0
127,903560.0
128,2652520.0
129,536026.0
130,3194870.0
131,1299040.0
132,1709440.0
133,2733850.0
134,891791.0
135,1996200.0
136,1713890.0
137,698896.0
138,1659990.0
139,467302.0
140,2008650.0
141,563177.0
142,1992050.0
143,603258.0
144,2010860.0
145,2072310.0
146,486984.0
147,1645890.0
148,1736800.0
149,2449750.0
150,1349360.0
