interval,hitsperOccupL3(KB)
0,882.953869047619
1,598.2418981481482
2,762.9176136363636
3,677.210597826087
4,2368.5401785714284
5,865.3697916666666
6,825.3161764705883
7,1082.0870535714287
8,1501.3875
9,713.9821428571429
10,725.3700657894736
11,810.1203125
12,1656.765625
13,2882.734375
14,1328.7552083333333
15,1450.165625
16,794.5642361111111
17,879.470703125
18,2399.6666666666665
19,788.8338815789474
20,2416.0729166666665
21,1348.2357954545455
22,750.8139880952381
23,1411.934659090909
24,1142.548076923077
25,1072.7924107142858
26,711.3229166666666
27,715.1800595238095
28,2096.4598214285716
29,1485.659375
30,1285.8072916666667
31,1544.26875
32,632.8792613636364
33,560.0208333333334
34,904.9125
35,761.1128472222222
36,1091.0649038461538
37,748.266447368421
38,2067.941964285714
39,960.21875
40,1568.3472222222222
41,772.1111111111111
42,828.626953125
43,804.3345588235294
44,1327.7585227272727
45,816.4253472222222
46,1447.4618055555557
47,1101.3485576923076
48,1730.515625
49,1133.0182291666667
50,941.7723214285714
51,865.76953125
52,1088.3653846153845
53,1037.0408653846155
54,1085.9869791666667
55,1071.295673076923
56,700.7993421052631
57,1176.7604166666667
58,983.8973214285714
59,1174.3854166666667
60,1281.2630208333333
61,955.3229166666666
62,1427.315625
63,1433.45
64,2373.65625
65,2289.2083333333335
66,800.4236111111111
67,1111.9134615384614
68,928.9229166666667
69,758.0625
70,1909.7857142857142
71,1928.013392857143
72,1084.8413461538462
73,1017.1346153846154
74,958.05078125
75,2039.1785714285713
76,1002.3950892857143
77,867.7890625
78,999.9709821428571
79,616.2528409090909
80,1413.765625
81,1550.1
82,724.96875
83,1325.3579545454545
84,765.9392361111111
85,909.3583333333333
86,4522.15625
87,877.98046875
88,1088.6754807692307
89,1009.0604166666667
90,894.3541666666666
91,865.5703125
92,929.5083333333333
93,1356.6193181818182
94,665.2827380952381
95,675.9875
96,992.2416666666667
97,2875.64375
98,585.0221354166666
99,1090.858173076923
100,1379.43125
101,1190.6875
102,930.9729166666667
103,1426.70625
104,998.5959821428571
105,1091.9591346153845
106,749.0902777777778
107,1018.5044642857143
108,933.7333333333333
109,1160.5338541666667
110,1031.3035714285713
111,789.7132352941177
112,851.716796875
113,1127.7213541666667
