interval,hitsperOccupL3(KB)
0,12027.34375
1,4308.533653846154
2,6918.046875
3,4671.041666666667
4,2440.7682291666665
5,24912.03125
6,9642.96875
7,13464.375
8,4347.211538461538
9,15218.75
10,12728.90625
11,3862.7708333333335
12,13501.875
13,3689.8828125
14,3885.4464285714284
15,52707.5
16,20346.666666666668
17,6522.1875
18,3867.4583333333335
19,9389.583333333334
20,3411.66015625
21,1363.7428977272727
22,17529.6875
23,3946.3333333333335
24,13508.59375
25,5703.090277777777
26,2840.2976190476193
27,9064.947916666666
28,5727.84375
29,14239.453125
30,4716.510416666667
31,6985.0390625
32,3611.4583333333335
33,1147.530048076923
34,2390.0426136363635
35,5278.181818181818
36,13692.34375
37,13443.671875
38,8422.276785714286
39,53688.75
40,3627.4609375
41,8081.517857142857
42,6907.4609375
43,15243.046875
44,13010.3125
45,4509.2067307692305
46,10893.5
47,4408.461538461538
48,14458.28125
49,inf
50,4883.880208333333
51,16995.208333333332
52,3886.026785714286
53,604.7366573033707
54,inf
55,7376.8359375
56,3239.8660714285716
57,3868.5833333333335
58,12910.390625
59,5977.6953125
60,595.4488031914893
61,7438.571428571428
62,6263.4375
63,6329.53125
64,3431.40625
65,3894.8214285714284
66,inf
67,14599.453125
68,11804.6875
69,4073.370535714286
70,13080.625
71,6132.03125
72,14600.15625
73,inf
74,4825.520833333333
75,12504.84375
76,2780.515625
77,1195.4231770833333
78,inf
79,14760.0
80,12087.734375
81,3785.7916666666665
