interval,hitsL3
0,9698890.0
1,9918980.0
2,6312300.0
3,5382500.0
4,5055970.0
5,4816190.0
6,2596130.0
7,2695360.0
8,3538310.0
9,3904330.0
10,4163670.0
11,7101190.0
12,10021200.0
13,7223380.0
14,1193560.0
15,498817.0
16,387639.0
17,302185.0
18,263291.0
19,296053.0
20,278727.0
21,273283.0
22,323960.0
23,347256.0
24,277979.0
25,273959.0
26,258632.0
27,267260.0
28,270675.0
29,237595.0
30,336710.0
31,330085.0
32,245816.0
33,224357.0
34,227719.0
35,238135.0
36,250408.0
37,253448.0
38,369101.0
39,317114.0
40,305110.0
41,327393.0
42,344314.0
43,380648.0
44,360995.0
45,422872.0
46,495717.0
47,352763.0
48,296905.0
49,283880.0
50,259415.0
51,313093.0
52,299931.0
53,311788.0
54,331590.0
55,1801120.0
56,1112990.0
57,512086.0
58,187059.0
59,168673.0
60,166878.0
61,263273.0
62,4967560.0
63,7215840.0
64,2542130.0
65,1796160.0
66,1666210.0
67,2041870.0
68,1621490.0
69,2452900.0
70,4148240.0
71,3389220.0
72,2567160.0
73,3807270.0
74,3433930.0
75,2936560.0
76,3323930.0
77,6181400.0
78,6988460.0
79,2908230.0
80,5345510.0
81,4022120.0
82,3651560.0
83,2457000.0
84,4384490.0
85,5305930.0
86,3888880.0
87,2401920.0
88,3177900.0
89,3223230.0
90,2609320.0
91,2444480.0
92,3396040.0
93,4357650.0
94,4428940.0
95,4139460.0
96,4760040.0
97,5059770.0
98,6550610.0
99,9053480.0
100,9610490.0
101,10472300.0
102,10450900.0
103,7928960.0
104,9995520.0
105,15925000.0
106,13956700.0
107,13074000.0
108,15165700.0
109,15471700.0
110,13966900.0
111,14985400.0
112,19042900.0
113,19407700.0
114,15225100.0
115,14313000.0
116,17241500.0
117,17106600.0
118,18565000.0
119,16068900.0
120,13823700.0
121,12847700.0
122,13783400.0
123,12297600.0
124,18526100.0
125,14984100.0
126,19208300.0
127,18177500.0
128,19065500.0
129,19004800.0
130,20245000.0
131,17740200.0
132,18271400.0
133,18503200.0
134,16156600.0
135,12048700.0
136,11423300.0
137,13207300.0
138,14181300.0
139,14502300.0
140,20964400.0
141,16983100.0
142,21135800.0
143,18903400.0
144,17171600.0
145,19299800.0
146,18146300.0
147,15813500.0
148,17196500.0
149,16132300.0
150,20668900.0
151,21063200.0
152,19685100.0
153,21036600.0
154,17013300.0
155,22010600.0
156,21539500.0
157,21050600.0
158,19809100.0
159,23349500.0
160,18856300.0
161,19785900.0
162,23876300.0
163,23980500.0
164,20335800.0
165,23969000.0
166,23134700.0
167,20970600.0
168,20675000.0
169,20666000.0
170,19727800.0
171,20375100.0
172,19974500.0
173,23385900.0
