interval,hitsL3
0,9759440.0
1,9743210.0
2,6501870.0
3,4992540.0
4,4497220.0
5,4286570.0
6,1686200.0
7,2562170.0
8,1956910.0
9,3305940.0
10,3815860.0
11,3439430.0
12,8456570.0
13,10704700.0
14,2422160.0
15,1173940.0
16,1274430.0
17,297002.0
18,388995.0
19,258059.0
20,431568.0
21,352095.0
22,284965.0
23,385160.0
24,297592.0
25,253563.0
26,353303.0
27,370539.0
28,369160.0
29,323900.0
30,344801.0
31,379433.0
32,294100.0
33,282955.0
34,429868.0
35,286768.0
36,287235.0
37,323489.0
38,708659.0
39,559667.0
40,633147.0
41,710326.0
42,384053.0
43,949107.0
44,968488.0
45,944844.0
46,1028050.0
47,1173470.0
48,1099990.0
49,883227.0
50,459325.0
51,1172340.0
52,476451.0
53,1185330.0
54,886862.0
55,707911.0
56,560038.0
57,463397.0
58,233137.0
59,251241.0
60,448244.0
61,17361600.0
62,4741720.0
63,2309640.0
64,2433430.0
65,3188100.0
66,2400750.0
67,2604010.0
68,5894230.0
69,3848000.0
70,2634350.0
71,2768720.0
72,2470900.0
73,2603020.0
74,2422370.0
75,4322560.0
76,7421430.0
77,3058890.0
78,3328320.0
79,2676110.0
80,3225390.0
81,2464620.0
82,2892580.0
83,4915480.0
84,3450370.0
85,3142140.0
86,3009180.0
87,3229440.0
88,2838870.0
89,2809620.0
90,4249330.0
91,5720760.0
92,3792850.0
93,3286540.0
94,4331390.0
95,4304350.0
96,3618730.0
97,3654350.0
98,6001030.0
99,5385480.0
100,4464160.0
101,4724040.0
102,4208920.0
103,4054580.0
104,3851800.0
105,5736320.0
106,8221220.0
107,4253430.0
108,4753450.0
109,4560140.0
110,4623610.0
111,3605380.0
112,4340410.0
113,6750760.0
114,5047780.0
115,4123210.0
116,3487070.0
117,3616840.0
118,3759740.0
119,4014090.0
120,6341650.0
121,8863720.0
122,9685930.0
123,5949920.0
124,6232870.0
125,6321580.0
126,5530200.0
127,3686530.0
128,4037190.0
129,3612160.0
130,4369230.0
131,4021230.0
132,5653920.0
133,7249670.0
134,9677710.0
135,9902310.0
136,7918100.0
137,8434910.0
138,4947420.0
139,4617870.0
140,4573200.0
141,4163180.0
142,4324450.0
143,3690720.0
144,7827980.0
145,7411620.0
146,4626800.0
147,5100240.0
148,4140120.0
149,5359660.0
150,3786390.0
151,6487220.0
152,10258000.0
153,6100520.0
154,5647630.0
155,5348960.0
156,5356290.0
157,5569130.0
158,4957440.0
159,11166200.0
160,7957820.0
161,5420240.0
162,5785240.0
163,6408580.0
164,5568980.0
165,3519340.0
166,11403500.0
167,10034000.0
168,5800080.0
169,3015820.0
170,3518170.0
171,5313890.0
172,4981330.0
173,6656280.0
174,9756240.0
175,7684950.0
176,5426300.0
177,4058440.0
178,5746850.0
179,5213050.0
180,5781550.0
181,7431470.0
182,10163400.0
183,5943700.0
184,3647160.0
185,3823110.0
186,4722710.0
187,3704560.0
188,5500240.0
189,8132240.0
190,9053320.0
191,5450410.0
192,6386050.0
193,5495470.0
194,4709240.0
195,5630420.0
196,7079200.0
197,11461400.0
198,5317940.0
199,5982950.0
200,5425710.0
201,6290850.0
202,5205480.0
203,5256360.0
204,9404740.0
205,11366600.0
206,8027990.0
207,6371400.0
208,7825740.0
209,6308860.0
210,6983590.0
211,8335480.0
212,14182000.0
213,10875000.0
214,5422170.0
215,5428560.0
216,6042080.0
217,6257580.0
218,3886760.0
219,12003600.0
