interval,hitsL3
0,61012.0
1,43272.0
2,53350.0
3,72070.0
4,52186.0
5,79201.0
6,126795.0
7,172983.0
8,378867.0
9,309210.0
10,124252.0
11,153901.0
12,110608.0
13,84879.0
14,246615.0
15,58476.0
16,374170.0
17,363644.0
18,181621.0
19,404395.0
20,527543.0
21,162018.0
22,165611.0
23,85518.0
24,635506.0
25,551586.0
26,255940.0
27,688109.0
28,810519.0
29,686107.0
30,346919.0
31,295173.0
32,855048.0
33,319894.0
34,277161.0
35,536896.0
36,950124.0
37,851023.0
38,186748.0
39,295401.0
40,962824.0
41,902569.0
42,360510.0
43,868807.0
44,342724.0
45,873740.0
46,770834.0
47,800173.0
48,1023480.0
49,387056.0
50,524271.0
51,927989.0
52,369814.0
53,870215.0
54,843515.0
55,326909.0
56,373864.0
57,373002.0
58,377747.0
59,929802.0
60,994726.0
61,834391.0
62,329684.0
63,866803.0
64,356008.0
65,846265.0
66,426648.0
67,854811.0
68,930766.0
69,300497.0
70,282177.0
71,362814.0
72,361613.0
73,363153.0
74,363350.0
75,363362.0
76,372915.0
77,502108.0
78,676172.0
79,438110.0
80,669036.0
81,445002.0
82,625718.0
83,362519.0
84,356890.0
85,328455.0
86,349541.0
87,1071540.0
88,374416.0
89,385205.0
90,381525.0
91,383086.0
92,935525.0
93,310881.0
94,347198.0
95,367348.0
96,378251.0
97,375859.0
98,341143.0
99,370168.0
100,343509.0
101,808511.0
102,894141.0
103,861461.0
104,367915.0
105,362622.0
106,361026.0
107,361922.0
108,742154.0
109,698748.0
110,877391.0
111,916526.0
112,852681.0
113,379027.0
114,367245.0
115,374023.0
116,296413.0
117,302582.0
118,368321.0
119,341905.0
120,375213.0
121,842200.0
122,367414.0
123,361112.0
124,308404.0
125,279887.0
126,275233.0
127,305329.0
128,301835.0
129,312237.0
130,420692.0
131,535077.0
