interval,hitsL3
0,60303.0
1,68262.0
2,77257.0
3,67633.0
4,50668.0
5,72813.0
6,181735.0
7,115643.0
8,106375.0
9,325250.0
10,163545.0
11,144065.0
12,71390.0
13,83554.0
14,84193.0
15,134827.0
16,105060.0
17,403789.0
18,265287.0
19,415562.0
20,233777.0
21,484177.0
22,226808.0
23,112003.0
24,167660.0
25,508238.0
26,250378.0
27,484164.0
28,242157.0
29,447823.0
30,169731.0
31,181105.0
32,255673.0
33,510358.0
34,389209.0
35,386742.0
36,253452.0
37,464368.0
38,95105.0
39,335418.0
40,252096.0
41,489613.0
42,256058.0
43,135486.0
44,205584.0
45,296344.0
46,84306.0
47,418574.0
48,217041.0
49,467566.0
50,239326.0
51,530570.0
52,226641.0
53,118434.0
54,149532.0
55,617847.0
56,270394.0
57,525650.0
58,189153.0
59,556100.0
60,266401.0
61,257230.0
62,131833.0
63,339231.0
64,171190.0
65,313605.0
66,158135.0
67,279754.0
68,53172.0
69,173450.0
70,122496.0
71,301733.0
72,124986.0
73,120170.0
74,116405.0
75,222629.0
76,78610.0
77,129799.0
78,152606.0
79,418333.0
80,155225.0
81,220627.0
82,164789.0
83,142121.0
84,112766.0
85,357725.0
86,185754.0
87,371660.0
88,183792.0
89,336335.0
90,134427.0
91,135897.0
92,195403.0
93,407151.0
94,189224.0
95,165893.0
96,184592.0
97,292412.0
98,70160.0
99,225589.0
100,151129.0
101,357796.0
102,151929.0
103,329983.0
104,167662.0
105,84554.0
106,69432.0
107,344508.0
108,182002.0
109,388522.0
110,175849.0
111,220774.0
112,163311.0
