interval,hitsL3
0,5734.0
1,6538.0
2,44868.0
3,122311.0
4,128925.0
5,421397.0
6,751394.0
7,740198.0
8,1491600.0
9,1716370.0
10,1541250.0
11,108252.0
12,178032.0
13,5252.0
14,20405.0
15,125942.0
16,434587.0
17,796444.0
18,847522.0
19,1604550.0
20,2182500.0
21,2291890.0
22,423919.0
23,184780.0
24,749339.0
25,853311.0
26,916602.0
27,2383920.0
28,2394890.0
29,1878970.0
30,96039.0
31,305596.0
32,873326.0
33,917846.0
34,1351480.0
35,2439170.0
36,2456610.0
37,1435560.0
38,119972.0
39,459864.0
40,932608.0
41,930212.0
42,1786180.0
43,2444400.0
44,2453380.0
45,894273.0
46,139641.0
47,613841.0
48,949876.0
49,945528.0
50,2209130.0
51,2554670.0
52,2646520.0
53,507467.0
54,157673.0
55,704793.0
56,963391.0
57,944108.0
58,2469790.0
59,2721590.0
60,2675620.0
61,249377.0
62,161461.0
63,771562.0
64,924183.0
65,918738.0
66,2459750.0
67,2549000.0
68,2369580.0
69,88862.0
70,192909.0
71,892324.0
72,921269.0
73,1246840.0
74,2615520.0
75,2560630.0
76,1741880.0
77,104378.0
78,372512.0
79,890491.0
80,919053.0
81,1642720.0
82,2538770.0
83,2507340.0
84,1064260.0
85,129272.0
86,525442.0
87,939289.0
88,950243.0
89,1983280.0
90,2653160.0
91,2641440.0
92,787407.0
93,149923.0
94,627775.0
95,950470.0
96,944142.0
97,2236650.0
98,2560840.0
99,2610200.0
100,387547.0
101,164014.0
102,752841.0
103,955207.0
104,931832.0
105,2423480.0
106,2514500.0
107,2344100.0
108,86379.0
109,178109.0
110,861853.0
111,888877.0
112,1135340.0
113,2567680.0
114,2484140.0
115,1926640.0
116,87141.0
117,257532.0
118,911372.0
119,883764.0
120,1416340.0
121,2516770.0
122,2591180.0
123,1578560.0
