interval,IPC
0,0.8447790000000001
1,0.7247680000000001
2,0.717344
3,0.712358
4,0.706522
5,0.707535
6,0.684032
7,0.695208
8,0.686772
9,0.672842
10,0.683283
11,0.699094
12,0.702337
13,0.700313
14,0.708222
15,0.703825
16,0.705407
17,0.690534
18,0.688258
19,0.6863640000000001
20,0.681509
21,0.686967
22,0.690937
23,0.703669
24,0.6939960000000001
25,0.6896260000000001
26,0.6855979999999999
27,0.687563
28,0.679126
29,0.6875220000000001
30,0.697341
31,0.69448
32,0.682828
33,0.6753939999999999
34,0.687988
35,0.682787
36,0.6895
37,0.6876359999999999
38,0.706742
39,0.660136
40,0.6848489999999999
41,0.665601
42,0.683017
43,0.6611279999999999
44,0.677744
45,0.698213
46,0.693214
47,0.680445
48,0.679204
49,0.6781020000000001
50,0.675157
51,0.683836
52,0.695144
53,0.699132
54,0.689918
55,0.688906
56,0.683412
57,0.686104
58,0.689702
59,0.69862
60,0.695859
61,0.687854
62,0.685235
63,0.6885359999999999
64,0.6884
65,0.6765720000000001
66,0.702126
67,0.694167
68,0.6846180000000001
69,0.681607
70,0.684922
71,0.688814
72,0.687716
73,0.6973560000000001
74,0.698121
75,0.68502
76,0.6833130000000001
77,0.6797810000000001
78,0.684909
79,0.683026
80,0.690868
81,0.6964899999999999
82,0.688246
83,0.681279
84,0.678383
85,0.6627850000000001
86,0.685968
87,0.692854
88,0.6997770000000001
89,0.68697
90,0.683388
91,0.682026
92,0.6809350000000001
93,0.6847439999999999
94,0.6932729999999999
95,0.692702
96,0.6879810000000001
97,0.6676479999999999
98,0.683869
99,0.6855720000000001
100,0.683655
101,0.692524
102,0.7001390000000001
103,0.676955
104,0.6848850000000001
105,0.670376
106,0.687905
107,0.6818890000000001
108,0.687631
109,0.704468
110,0.69339
111,0.670301
112,0.68383
