interval,hitsL3
0,779122.0
1,765580.0
2,785463.0
3,705504.0
4,687222.0
5,676733.0
6,592168.0
7,659450.0
8,661683.0
9,592220.0
10,580501.0
11,672661.0
12,676489.0
13,677943.0
14,737243.0
15,601719.0
16,644078.0
17,628367.0
18,597933.0
19,611888.0
20,611462.0
21,630840.0
22,630055.0
23,658154.0
24,627251.0
25,673308.0
26,610772.0
27,635470.0
28,573156.0
29,626005.0
30,678667.0
31,642749.0
32,584948.0
33,617300.0
34,600272.0
35,633790.0
36,655224.0
37,673243.0
38,656794.0
39,596704.0
40,618456.0
41,615073.0
42,573497.0
43,636658.0
44,668261.0
45,644905.0
46,631595.0
47,644680.0
48,684654.0
49,607756.0
50,633658.0
51,622672.0
52,616347.0
53,617477.0
54,631653.0
55,612831.0
56,597658.0
57,613900.0
58,641944.0
59,687489.0
60,643220.0
61,628777.0
62,625218.0
63,662872.0
64,638246.0
65,621878.0
66,636163.0
67,592120.0
68,634749.0
69,602711.0
70,595763.0
71,611163.0
72,604190.0
73,613882.0
74,618300.0
75,604692.0
76,623949.0
77,598670.0
78,637988.0
79,640312.0
80,675145.0
81,627946.0
82,638785.0
83,630932.0
84,603332.0
85,647909.0
86,620491.0
87,651167.0
88,657185.0
89,644813.0
90,660238.0
91,661290.0
92,710778.0
93,687699.0
94,654415.0
95,678436.0
96,677452.0
97,675478.0
98,692543.0
99,697633.0
100,693094.0
101,687186.0
102,701361.0
103,669640.0
104,693937.0
105,690526.0
106,751126.0
107,729099.0
108,733948.0
109,701401.0
110,720445.0
111,678726.0
112,661420.0
