interval,IPC
0,2.43929
1,2.31077
2,2.47321
3,2.21254
4,2.4689900000000002
5,2.18586
6,2.4128700000000003
7,2.46749
8,2.14072
9,2.46915
10,2.43405
11,2.2179
12,2.14878
13,2.46397
14,2.4765200000000003
15,2.44355
16,2.38237
17,1.66487
18,2.5525599999999997
19,2.27053
20,2.3968700000000003
21,2.4321099999999998
22,2.5251099999999997
23,2.4511700000000003
24,2.03608
25,1.72455
26,2.22856
27,2.29623
28,2.36761
29,2.40692
30,2.4649400000000004
31,2.5226900000000003
32,2.4416599999999997
33,2.35587
34,2.13156
35,1.6901
36,1.6490099999999999
37,2.43991
38,2.4001099999999997
39,2.11751
40,2.42143
41,2.43047
42,2.4544900000000003
43,2.43173
44,2.34575
45,2.3741
46,2.13346
47,1.6760599999999999
48,1.6802
49,1.89989
50,2.60358
51,2.06505
52,2.48184
53,2.57363
54,2.36774
55,2.49358
56,2.46658
57,2.3923799999999997
58,2.31438
59,2.37182
60,1.69133
61,1.62447
62,2.35685
63,2.63794
64,2.61437
65,2.07297
66,2.46674
67,2.38689
68,2.4357900000000003
69,2.48063
70,2.44775
71,2.35376
72,2.32685
73,2.22982
74,2.51989
75,2.51942
76,1.61911
77,1.7120799999999998
78,1.7146299999999999
79,1.48996
80,2.17199
81,2.65827
82,2.61102
83,2.63176
84,1.7964099999999998
85,1.9952299999999998
86,2.4104400000000004
87,2.45318
88,2.4513
89,2.47724
90,2.4491
91,2.41899
92,2.33229
93,2.32392
94,2.48061
95,2.54865
96,2.49303
97,2.19076
98,2.52053
99,2.59252
100,1.9215200000000001
101,1.8117400000000001
102,1.7493599999999998
103,1.71593
104,1.50167
105,2.07884
106,2.6175900000000003
107,2.59901
108,2.60054
109,2.63092
110,1.84865
111,1.96668
112,2.2768599999999997
113,2.49483
114,2.43833
115,2.3923400000000004
