interval,hitsL3
0,5225.0
1,4312.0
2,3985.0
3,3733.0
4,5758.0
5,5520.0
6,4355.0
7,3659.0
8,5557.0
9,3677.0
10,3818.0
11,5559.0
12,4686.0
13,3412.0
14,3929.0
15,5428.0
16,16822.0
17,3544.0
18,416059.0
19,1006430.0
20,960689.0
21,820618.0
22,1037600.0
23,611814.0
24,683662.0
25,606940.0
26,875922.0
27,577421.0
28,750268.0
29,659303.0
30,860949.0
31,724233.0
32,730615.0
33,634733.0
34,795015.0
35,750751.0
36,731382.0
37,593565.0
38,783086.0
39,632799.0
40,790313.0
41,628273.0
42,708900.0
43,623335.0
44,713233.0
45,669898.0
46,671102.0
47,575786.0
48,686761.0
49,723827.0
50,600507.0
51,596355.0
52,622288.0
53,739804.0
54,509996.0
55,615937.0
56,619787.0
57,674573.0
58,595062.0
59,685284.0
60,615434.0
61,681012.0
62,532082.0
63,641543.0
64,542563.0
65,706906.0
66,620947.0
67,663218.0
68,107212.0
69,67021.0
70,62801.0
71,72606.0
72,57456.0
73,64789.0
74,275592.0
75,16564600.0
76,18907500.0
77,19912100.0
78,20611700.0
79,21005300.0
80,21046000.0
81,21710600.0
82,21861800.0
83,21804500.0
84,22066200.0
85,22667800.0
86,22182900.0
87,22549100.0
88,23568400.0
89,23367600.0
90,20564300.0
91,79259.0
92,81958.0
93,400557.0
94,1141040.0
95,848093.0
96,900696.0
97,681238.0
98,817805.0
99,701662.0
100,775385.0
101,555485.0
102,644119.0
103,598714.0
104,788311.0
105,542379.0
106,711111.0
107,603707.0
108,819110.0
109,555831.0
110,607571.0
111,599874.0
112,732503.0
113,623996.0
114,647385.0
115,600406.0
116,770297.0
117,661734.0
118,641458.0
119,553028.0
120,611127.0
121,638314.0
122,600336.0
123,520647.0
124,654057.0
125,495413.0
126,656036.0
127,466338.0
128,614983.0
129,822129.0
130,657648.0
131,586470.0
132,748802.0
133,596702.0
134,483671.0
135,700974.0
136,449663.0
137,594957.0
138,560570.0
139,560974.0
140,530953.0
141,573259.0
142,618033.0
143,150253.0
144,70409.0
145,55385.0
146,66506.0
147,64410.0
148,78226.0
149,287184.0
150,1143740.0
151,809457.0
152,838545.0
153,792146.0
154,757453.0
155,588021.0
156,709004.0
157,626862.0
158,626238.0
159,543819.0
160,702806.0
161,692327.0
162,635402.0
163,628875.0
164,738860.0
165,613123.0
166,602262.0
167,594027.0
168,694834.0
169,686034.0
170,720683.0
171,791952.0
172,578443.0
173,677409.0
174,617972.0
175,594410.0
176,478794.0
177,631609.0
178,607054.0
179,594607.0
180,500907.0
181,616124.0
