interval,hitsperOccupL3(KB)
0,3701.123188405797
1,4420.376712328767
2,5070.588235294118
3,4433.194444444444
4,3123.151676829268
5,2085.9438775510203
6,2374.4866071428573
7,2372.4466463414633
8,3938.7300531914893
9,5655.743243243243
10,675.5803571428571
11,1356.53125
12,742.8786057692307
13,327.3203125
14,287.4209558823529
15,527.1673387096774
16,662.2991071428571
17,233.4557783018868
18,300.93333333333334
19,365.19034090909093
20,486.875
21,345.82916666666665
22,228.7
23,274.2193396226415
24,200.0478515625
25,369.52935606060606
26,173.6593364197531
27,228.44464285714287
28,208.93985849056602
29,308.69444444444446
30,251.16302083333332
31,264.0040760869565
32,161.69146825396825
33,166.87360074626866
34,289.65625
35,389.2447916666667
36,274.6891447368421
37,244.67708333333334
38,178.66666666666666
39,858.8727678571429
40,262.86595394736844
41,280.74273255813955
42,207.65212264150944
43,373.20625
44,451.3451086956522
45,165.15395220588235
46,184.3786231884058
47,216.10444078947367
48,2480.3186274509803
49,3260.78373015873
50,2835.0732421875
51,1548.0573453608247
52,3165.7682291666665
53,1471.9657258064517
54,2179.526654411765
55,940.1141826923077
56,578.0345052083334
57,468.1796875
58,707.3478260869565
59,524.0990990990991
60,323.96915584415586
61,2021.9921875
62,1599.483418367347
63,378.5174107142857
64,289.93359375
65,465.92233009708735
66,652.056640625
67,272.87103873239437
68,324.6580615942029
69,427.516571969697
70,348.61392405063293
71,381.8515625
72,329.57653985507244
73,280.8293918918919
74,119.6390306122449
75,222.72589285714287
76,258.4249237804878
77,155.40655637254903
78,350.92618534482756
79,337.4661458333333
80,482.70208333333335
81,341.1458333333333
82,234.5340073529412
83,186.66203703703704
84,324.3989955357143
85,421.35625
86,454.60546875
87,195.8096590909091
88,247.00178571428572
89,406.0203804347826
90,165.4152960526316
91,202.64797794117646
92,179.51307397959184
93,232.11826923076924
94,219.8248820754717
95,263.5413306451613
96,358.05102040816325
97,128.00584112149534
98,184.06217447916666
99,343.0729166666667
100,162.40416666666667
101,199.01959745762713
102,146.33828125
103,165.71580882352941
104,324.31175595238096
105,127.72703313253012
106,194.45153985507247
107,138.7287087912088
108,163.58648255813952
109,182.32179054054055
110,213.99122807017545
111,147.1338028169014
112,358.9321933962264
113,134.78956117021278
114,197.24519230769232
115,249.42548076923077
116,84.23037790697674
117,173.45561079545453
118,408.8177083333333
119,201.97892441860466
120,279.2194683908046
121,316.10096153846155
122,113.44931402439025
123,166.01143292682926
124,146.58056640625
125,139.751171875
126,159.41365979381445
127,727.983870967742
128,4048.3961397058824
129,2936.7904411764707
130,3903.019230769231
131,2542.9758522727275
132,1578.14453125
133,808.1145833333334
134,786.7069575471698
135,1190.46875
136,611.2684948979592
137,630.1736111111111
138,1272.9306402439024
139,1387.1808510638298
140,475.41548295454544
141,376.0246212121212
142,456.32838983050846
143,276.87345679012344
144,840.4408482142857
145,837.421875
146,718.0960365853658
147,240.0479525862069
148,177.08148734177215
149,428.4943181818182
150,394.5520833333333
151,276.7323994252874
152,171.07113486842104
153,385.916087962963
154,343.1303066037736
155,215.54918032786884
156,135.17548076923077
157,244.65582191780823
158,882.8052083333333
159,250.546600877193
160,210.75484154929578
161,189.85251524390245
162,143.42993951612902
163,157.4046052631579
164,255.8951612903226
165,488.95089285714283
166,185.49696601941747
167,200.81763698630138
168,355.136875
169,269.23125
170,173.547123015873
171,189.75892857142858
172,146.95670572916666
173,476.155303030303
174,237.62736742424244
175,127.29513888888889
176,493.0663109756098
177,333.9214285714286
178,162.12295081967213
179,769.9013157894736
180,366.68315972222223
181,166.11627906976744
182,136.52948113207546
183,283.51813271604937
184,224.26331967213116
185,176.82589285714286
186,136.16469594594594
187,159.3991935483871
188,434.5147058823529
189,111.44947916666666
190,57.93433544303797
191,432.9578125
192,240.84119897959184
193,185.9694293478261
194,119.53919491525424
195,222.04006410256412
196,146.21022727272728
197,219.50089285714284
198,149.33680555555554
199,225.12760416666666
200,114.8015873015873
201,155.23295454545453
202,202.6609375
203,633.6004464285714
204,220.81433823529412
205,87.71673387096774
206,168.29244402985074
207,290.0263671875
208,376.0
209,247.279296875
210,146.51848591549296
211,388.06107954545456
212,387.6924342105263
213,177.27692307692308
214,237.7512755102041
215,221.21210106382978
216,62.94515306122449
217,239.61743951612902
218,212.05575980392157
219,133.3783783783784
220,54.0735294117647
221,130.77212078651687
222,234.03727409638554
223,201.82949029126215
224,323.7003205128205
225,147.97677752293578
226,242.61139112903226
227,123.63559322033899
228,137.50608766233765
229,147.70905172413794
230,67.10338541666667
231,159.65170454545455
232,111.59114583333333
233,93.7511574074074
234,99.06291118421052
235,204.99045138888889
236,86.70870535714286
237,209.21323529411765
238,255.7948717948718
239,118.26222826086956
240,213.6066176470588
241,76.50980392156863
242,71.71524234693878
243,324.388125
244,108.59427966101696
245,114.14663461538461
246,82.96369485294117
247,122.38352272727273
248,206.45797413793105
249,84.75091019417475
250,187.17105263157896
251,171.30089285714286
252,106.87246621621621
253,160.3910984848485
254,117.78728070175438
255,103.79758522727273
256,213.55603448275863
257,62.68326271186441
258,122.82916666666667
259,124.08928571428571
260,117.49739583333333
261,203.7625
262,133.2166095890411
263,484.4385775862069
264,307.4644886363636
