interval,IPC
0,0.7890550000000001
1,1.24021
2,2.47953
3,1.77223
4,1.2074200000000002
5,2.24871
6,2.52865
7,0.9303680000000001
8,1.75845
9,2.5561599999999998
10,2.49795
11,1.25248
12,1.46397
13,2.41928
14,2.49617
15,1.76027
16,1.19579
17,2.15278
18,2.48292
19,2.52434
20,1.9155400000000002
21,1.1342700000000001
22,2.0724
23,2.52124
24,2.45953
25,2.48624
26,1.7088299999999998
27,1.20032
28,2.10007
29,2.44792
30,2.50825
31,2.5267
32,1.56985
33,1.18636
34,2.29428
35,2.53116
36,2.4434400000000003
37,2.46372
38,2.12384
39,1.0420200000000002
40,1.8207099999999998
41,2.4688
42,2.5277700000000003
43,2.47825
44,2.4885099999999998
45,1.64953
46,1.19712
47,2.19893
48,2.49845
49,2.51143
50,2.53786
51,2.46168
52,2.3965
53,0.901071
54,1.67555
55,2.38293
56,2.45209
57,2.42741
58,2.54592
59,2.4649400000000004
60,2.40886
61,0.927549
62,1.6945599999999998
63,2.43115
64,2.45325
65,2.50353
66,2.38748
67,2.46715
68,2.4668900000000002
69,1.3556
70,1.29235
71,2.3967
72,2.48813
73,2.53752
74,2.435
75,2.4499
76,2.53155
77,2.5021400000000003
78,0.900393
79,1.68255
80,2.5125900000000003
81,2.48107
82,2.44411
83,2.48286
84,2.49898
85,2.45857
86,2.3927099999999997
87,1.61615
88,1.19802
89,2.1714599999999997
90,2.46027
91,2.4710099999999997
92,2.5300599999999998
93,2.46449
94,2.46731
95,2.52577
96,2.5131
97,2.06319
98,1.04321
99,1.93907
100,2.52116
101,2.44725
102,2.45133
103,2.5264
