interval,hitsperOccupL3(KB)
0,51.08680555555556
1,27.505208333333332
2,69.421875
3,128.625
4,27.0625
5,12.73263888888889
6,26.0625
7,19.265625
8,16.75
9,16.37109375
10,11.375
11,11.225
12,29.119791666666668
13,25.65625
14,14.35546875
15,519.5
16,75.25
17,111.09375
18,389.57310267857144
19,1507.1171875
20,904.3269230769231
21,371.5589488636364
22,341.95
23,1172.6452205882354
24,538.2096036585366
25,981.6213942307693
26,851.6897321428571
27,961.3973214285714
28,1135.2771739130435
29,627.2284226190476
30,933.0474537037037
31,699.9256756756756
32,623.4346590909091
33,509.44634433962267
34,651.874255952381
35,421.78492647058823
36,615.4053571428572
37,434.61970338983053
38,590.8048611111111
39,483.49252717391306
40,521.725
41,757.914314516129
42,683.8847222222222
43,415.7116935483871
44,571.8661858974359
45,262.99632352941177
46,614.1160714285714
47,499.26280737704917
48,470.1198979591837
49,472.4230769230769
50,337.33973214285714
51,559.4464285714286
52,438.7132352941176
53,553.5047554347826
54,507.865625
55,394.38221153846155
56,416.78564453125
57,529.3912037037037
58,372.1532939189189
59,427.7532894736842
60,310.66533430232556
61,391.6702425373134
62,454.87390350877195
63,514.4155092592592
64,321.8694349315069
65,562.157579787234
66,423.6076388888889
67,595.4163851351351
68,45.3133445945946
69,30.027712264150942
70,55.525390625
71,39.147529069767444
72,36.52556818181818
73,35.38333333333333
74,18150.46875
75,33879.166666666664
76,46247.767857142855
77,41833.3984375
78,32261.904761904763
79,34297.5
80,29343.619791666668
81,32196.732954545456
82,33859.52380952381
83,45581.640625
84,28630.28846153846
85,38871.54605263158
86,33725.28409090909
87,34779.829545454544
88,34791.619318181816
89,5626.728723404255
90,26.586340206185568
91,23.212890625
92,240.7705792682927
93,585.6967905405405
94,562.8670634920635
95,470.95394736842104
96,396.7281626506024
97,492.5432692307692
98,417.48046875
99,416.0444078947368
100,363.3113425925926
101,366.86422413793105
102,523.5422149122807
103,374.3074845679012
104,330.4720744680851
105,439.94610507246375
106,366.7406655844156
107,434.65544871794873
108,466.48802083333334
109,386.6867088607595
110,431.60714285714283
111,430.088768115942
112,369.88260135135135
113,454.4523305084746
114,407.65909090909093
115,438.50089285714284
116,355.480078125
117,483.1244212962963
118,505.88709677419354
119,412.5235576923077
120,462.9940732758621
121,379.2125771604938
122,419.021404109589
123,252.3237951807229
124,498.72227822580646
125,332.59987113402065
126,349.9020365168539
127,350.2669270833333
128,352.0823863636364
129,342.1039603960396
130,349.8321759259259
131,335.45693277310926
132,347.5554906542056
133,396.0584677419355
134,327.39767699115043
135,334.876179245283
136,366.2691326530612
137,230.14204545454547
138,296.7708333333333
139,357.2043010752688
140,372.2029320987654
141,281.60361842105266
142,367.8305921052632
143,20.192887931034484
144,27.024771341463413
145,772.37890625
146,23.897321428571427
147,34.82980769230769
148,447.11707746478874
149,742.7462121212121
150,449.1701388888889
151,418.57894736842104
152,437.57120253164555
153,576.0714285714286
154,496.5625
155,538.8333333333334
156,271.8374060150376
157,363.7076822916667
158,314.6720041322314
159,344.26215277777777
160,324.82060185185185
161,429.85546875
162,278.19507575757575
163,351.0565308988764
164,456.9682765151515
165,261.2337072649573
166,485.8700396825397
167,350.63666666666666
168,492.0390625
169,299.7190755208333
170,621.7975260416666
171,380.919237012987
172,398.4236607142857
173,462.75104166666665
174,443.8037909836066
175,360.0226883561644
176,476.69901315789474
177,267.5502976190476
