interval,hitsL3
0,41211.0
1,560117.0
2,1650900.0
3,49605.0
4,1430030.0
5,2013340.0
6,816787.0
7,2582010.0
8,622117.0
9,2635560.0
10,1183370.0
11,3459520.0
12,2268320.0
13,708545.0
14,2544240.0
15,1599650.0
16,2551460.0
17,1754840.0
18,2085320.0
19,1879890.0
20,1975220.0
21,3059920.0
22,780841.0
23,2906090.0
24,551573.0
25,3237620.0
26,1346070.0
27,1692670.0
28,1897440.0
29,705918.0
30,2915500.0
31,1318510.0
32,2002730.0
33,3103620.0
34,1049090.0
35,3537100.0
36,1661560.0
37,737420.0
38,2457730.0
39,732364.0
40,2499640.0
41,2408500.0
42,864120.0
43,2868160.0
44,445896.0
45,1868540.0
46,1208110.0
47,919164.0
48,1740900.0
49,818718.0
50,2125960.0
51,1701050.0
52,1355290.0
53,2358190.0
54,589942.0
55,3258720.0
56,1033220.0
57,2551790.0
58,1493240.0
59,520876.0
60,2577390.0
61,989323.0
62,1714080.0
63,2033830.0
64,601125.0
65,2545640.0
66,651580.0
67,1858520.0
68,1156530.0
69,1434160.0
70,1957710.0
71,506248.0
72,3000780.0
73,731962.0
74,2398120.0
75,1967960.0
76,703644.0
77,1632630.0
78,2130030.0
79,775594.0
80,2959380.0
81,536416.0
82,3305420.0
83,1145540.0
84,954959.0
85,2404390.0
86,447647.0
87,1822830.0
88,681841.0
89,684932.0
90,1012450.0
91,991377.0
92,3059960.0
93,825344.0
94,3325640.0
95,2013230.0
96,445884.0
97,1697280.0
98,1042360.0
99,567719.0
100,1950080.0
101,922079.0
102,2825730.0
103,339230.0
104,3006740.0
105,1137220.0
106,1510210.0
107,2536310.0
108,173652.0
109,867935.0
110,518629.0
111,2418600.0
112,1776990.0
113,1000570.0
114,2152680.0
115,503366.0
116,3022760.0
117,794877.0
118,1088420.0
119,740278.0
120,1211200.0
121,1635640.0
122,533335.0
123,1988820.0
124,613081.0
125,1285900.0
126,2055130.0
127,513297.0
128,2188440.0
129,254283.0
130,1483180.0
131,348867.0
132,2905340.0
133,1516720.0
134,783532.0
135,1860730.0
136,1510230.0
137,1532370.0
138,2107680.0
139,360548.0
140,965051.0
141,627431.0
142,2348980.0
143,649564.0
144,2435890.0
145,2090620.0
146,456749.0
147,1697040.0
148,1715540.0
149,446598.0
150,1329190.0
151,606725.0
152,2606870.0
153,754759.0
154,2199120.0
155,1220090.0
156,723610.0
157,1679280.0
