interval,IPC
0,2.9244
1,2.91682
2,2.54601
3,2.58563
4,2.07425
5,1.52092
6,1.56998
7,1.50217
8,1.61388
9,1.45885
10,1.6744700000000001
11,1.43554
12,1.4079
13,1.7274200000000002
14,1.80885
15,1.97393
16,2.90275
17,2.3997900000000003
18,2.13122
19,1.65073
20,1.48946
21,1.482
22,1.39615
23,1.48187
24,1.45569
25,1.39456
26,1.48771
27,1.3438700000000001
28,1.9546299999999999
29,1.43038
30,1.48586
31,1.4169399999999999
32,1.23878
33,1.4694
34,1.25308
35,1.35503
36,1.47427
37,1.20059
38,2.0745400000000003
39,1.20512
40,1.37719
41,1.42085
42,1.37269
43,1.50919
44,1.2803799999999999
45,1.36517
46,1.2511299999999999
47,1.36815
48,1.93546
49,1.50888
50,1.38266
51,1.34853
52,1.44127
53,1.57781
54,1.40131
55,1.28657
56,1.41649
57,1.26836
58,1.79941
59,1.6629200000000002
60,1.2992
61,1.43201
62,1.34154
63,1.4892
64,1.39896
65,1.35782
66,1.46488
67,1.2751700000000001
68,1.45727
69,1.9132
70,1.3301399999999999
71,1.4936200000000002
72,1.31197
73,1.46145
74,1.34086
75,1.3415700000000002
76,1.48422
77,1.37804
78,1.3350600000000001
79,1.9041099999999997
80,1.3932799999999999
81,1.48806
82,1.41163
83,1.54939
84,1.32094
85,1.36877
86,1.3849
87,1.37021
88,1.47308
89,1.9834599999999998
90,1.41374
91,1.28649
92,1.42293
93,1.55405
94,1.40896
95,1.40773
96,1.3586200000000002
97,1.3006799999999998
98,1.38216
99,2.12228
100,1.60408
101,1.2598
102,1.44345
103,1.5426600000000001
104,1.40924
105,1.5367899999999999
106,1.32812
107,1.2716399999999999
108,1.4028200000000002
109,2.08378
110,1.6624299999999999
111,1.49724
112,1.4641600000000001
113,1.47361
114,1.3936600000000001
115,1.58463
116,1.43245
117,1.4716
118,1.78387
119,1.49672
120,1.49284
121,1.456
122,1.61099
123,1.33762
124,1.43231
125,1.3986299999999998
126,1.4510299999999998
127,1.46381
128,1.9749299999999999
129,1.5853
130,1.26765
131,1.51289
132,1.5751700000000002
133,1.4373200000000002
134,1.45725
135,1.34333
136,1.31891
137,1.37681
138,2.0624700000000002
139,1.5373299999999999
140,1.20865
141,1.4909700000000001
142,1.42577
143,1.46565
144,1.49231
145,1.34064
146,1.38147
147,1.23231
148,2.0316400000000003
149,1.49525
150,1.40638
151,1.47811
152,1.38104
153,1.4913299999999998
154,1.4376799999999998
155,1.38
156,1.44918
157,1.2114200000000002
