interval,IPC
0,1.8047799999999998
1,1.4405700000000001
2,0.664928
3,1.07759
4,0.659245
5,0.47338500000000006
6,0.433572
7,0.347041
8,0.375817
9,0.342317
10,0.352134
11,0.292134
12,0.324761
13,0.366375
14,0.449561
15,0.465262
16,0.502384
17,0.47149300000000005
18,0.46827700000000005
19,0.378678
20,0.319738
21,0.31612199999999996
22,0.305841
23,0.306807
24,0.26031
25,0.34006
26,0.26995
27,0.42619799999999997
28,0.36714
29,0.358079
30,0.27246
31,0.29735900000000004
32,0.299926
33,0.25708600000000004
34,0.278008
35,0.28018899999999997
36,0.308302
37,0.3947
38,0.336068
39,0.26361
40,0.23679499999999998
41,0.297111
42,0.266316
43,0.27960999999999997
44,0.24759899999999999
45,0.24424099999999999
46,0.364528
47,0.368944
48,0.294981
49,0.243112
50,0.269877
51,0.23290300000000003
52,0.277826
53,0.253779
54,0.25451399999999996
55,0.304118
56,0.29135900000000003
57,0.318123
58,0.233602
59,0.281852
60,0.225003
61,0.22537
62,0.255391
63,0.236938
64,0.275173
65,0.309874
66,0.31894
67,0.230567
68,0.233869
69,0.244125
70,0.226343
71,0.245862
72,0.21894699999999997
73,0.257842
74,0.276397
75,0.31913
76,0.282694
77,0.22464099999999998
78,0.25566700000000003
79,0.23219099999999998
80,0.259942
81,0.210925
82,0.232525
83,0.23419600000000002
84,0.29684499999999997
85,0.353311
86,0.244713
87,0.23396799999999998
88,0.221743
89,0.251325
90,0.245752
91,0.240943
92,0.23149899999999998
93,0.269681
94,0.351398
95,0.313933
96,0.263263
97,0.228677
98,0.247063
99,0.23827199999999998
100,1.33975
101,1.5577
102,1.4530100000000001
103,1.39854
104,1.39331
105,0.747476
106,0.595381
107,0.8205870000000001
108,0.448846
109,0.582534
110,0.477948
111,0.51586
112,0.8313719999999999
113,0.8102699999999999
114,0.615067
115,0.49378900000000003
116,0.6508430000000001
117,0.49016000000000004
118,0.6137050000000001
119,0.381279
120,0.5219199999999999
121,0.540403
122,0.6473180000000001
123,0.6955319999999999
124,0.44189300000000004
125,0.445316
126,0.424633
127,0.491224
128,0.472326
129,0.542563
130,0.501622
131,0.545126
132,0.6256390000000001
133,0.46402899999999997
134,0.46022299999999994
135,0.500228
136,0.496856
137,0.46470100000000003
138,0.447478
139,0.46403500000000003
140,0.470797
141,0.665511
142,0.447402
143,0.45783900000000005
144,0.404508
145,0.493784
146,0.428167
147,0.431125
148,0.401839
149,0.521048
150,0.603301
151,0.619226
152,0.675658
153,0.522049
154,0.47409799999999996
155,0.522212
156,0.529316
157,0.588626
158,0.373359
159,0.44105600000000006
160,0.40419499999999997
161,0.406719
162,0.446139
163,0.41923900000000003
164,0.459225
165,0.484892
166,0.523659
167,0.543497
168,0.607003
169,0.505035
170,0.493699
171,0.517654
172,0.42090600000000006
173,0.42715699999999995
174,0.434066
175,0.437974
176,0.376648
177,0.45460600000000007
178,0.392368
179,0.505252
180,0.45008000000000004
181,0.489544
182,0.370648
183,0.404752
184,0.433058
185,0.382752
186,0.391475
187,0.392735
188,0.41459700000000005
189,0.530353
190,0.507833
191,0.410174
192,0.400069
193,0.432462
194,0.392915
195,0.398922
196,0.366613
197,0.436609
198,0.443841
199,0.523558
200,0.45131400000000005
201,0.417016
202,0.34187
203,0.426731
204,0.430129
205,0.363811
206,0.379838
207,0.334237
208,0.49704799999999993
209,0.501942
210,0.440299
211,0.325625
212,0.501441
213,0.366374
214,0.330441
215,0.40221599999999996
216,0.374879
217,0.49997600000000003
218,0.45381400000000005
219,0.508328
220,0.373134
221,0.45019499999999996
222,0.44885
223,0.44268900000000005
224,0.406148
225,0.411675
226,0.515506
227,0.513576
228,0.538384
229,0.42271400000000003
230,0.38402
231,0.431493
232,0.398219
233,0.372256
234,0.39515500000000003
235,0.391989
236,0.567109
237,0.564551
238,0.404383
239,0.406932
240,0.41205200000000003
241,0.403535
242,0.33883
243,0.365976
244,0.382598
245,0.390793
246,0.523724
247,0.457635
248,0.375077
249,0.373107
250,0.36919
251,0.408777
252,0.414297
253,0.353344
254,0.382298
255,0.511501
256,0.576539
257,0.496979
258,0.29231599999999996
259,0.32227100000000003
260,0.305372
261,0.327277
262,0.305869
263,0.30549299999999996
264,0.34520300000000004
265,0.383949
266,0.329786
267,0.313066
268,0.276859
269,0.28082199999999996
270,0.270163
271,0.29299899999999995
272,0.308014
273,0.29941799999999996
274,0.33569
275,0.336278
276,0.293875
277,0.262771
278,0.287938
279,0.260213
280,0.256527
281,0.302348
282,0.26718600000000003
283,0.366722
284,0.338552
285,0.33962800000000004
286,0.268496
287,0.29118
288,0.286063
289,0.257362
290,0.283443
291,0.261442
292,0.313258
293,0.34644400000000003
294,0.354158
295,0.246719
296,0.336798
297,0.308408
298,0.27884200000000003
299,0.283002
300,0.303935
301,0.273644
302,0.32946
303,0.418946
304,0.386692
305,0.419641
306,0.38798299999999997
307,0.382768
308,0.394052
309,0.356148
310,0.36686799999999997
311,0.279384
312,0.29373299999999997
313,0.307501
314,0.263293
315,0.29462
316,0.26657
317,0.335967
318,0.396463
319,0.39342
320,0.39565100000000003
321,0.407285
322,0.356636
323,0.365832
324,0.30147399999999996
325,0.28383800000000003
326,0.265735
327,0.29396700000000003
328,0.255477
329,0.259186
330,0.286754
331,0.267762
332,0.389418
333,0.340136
334,0.295308
335,0.27457800000000004
336,0.270696
337,0.31540100000000004
338,0.250027
339,0.282382
340,0.266815
341,0.337445
342,0.36306
343,0.360782
344,0.262521
345,0.28920500000000005
346,0.286035
347,0.275294
348,0.319333
349,0.25689
350,0.304782
351,0.35104
352,0.413322
353,0.2844
354,0.311623
355,0.297575
356,0.295522
357,0.310899
358,0.29743200000000003
359,0.31751
360,0.341334
361,0.37346999999999997
362,0.303645
363,0.31717
364,0.300697
365,0.289702
366,0.292951
367,0.2642
368,0.276606
369,0.287396
370,0.407627
371,0.310722
372,0.273483
373,0.265567
374,0.288625
375,0.284136
376,0.29549699999999995
377,0.259845
378,0.244648
379,0.379276
380,0.36115
381,0.316998
382,0.253178
383,0.30474
384,0.286107
385,0.28877800000000003
386,0.30897600000000003
387,0.264462
388,0.32397
389,0.350521
390,0.385587
391,0.28334899999999996
392,0.306404
393,0.262989
394,0.283505
395,0.28965100000000005
396,0.28305
397,0.321836
398,0.325949
399,0.377632
400,0.289159
401,0.299684
402,0.26526500000000003
403,0.305735
404,0.272599
405,0.271599
406,0.279113
407,0.312761
408,0.36578499999999997
409,0.32660100000000003
410,0.312135
411,0.260151
412,0.305057
413,0.262015
414,0.25919899999999996
415,0.28744400000000003
416,0.280449
417,0.411211
418,0.373091
419,0.344517
420,0.266694
421,0.29647399999999996
422,0.278929
423,0.320509
424,0.27871999999999997
425,0.24733400000000003
426,0.366925
427,0.350052
428,0.346381
429,0.25896399999999997
430,0.292919
431,0.28284499999999996
432,0.31428
433,0.302727
434,0.292715
435,0.340544
436,0.35879
437,0.397856
438,0.30002
439,0.30983299999999997
440,0.26101599999999997
441,0.31235
442,0.282118
443,0.37008
444,0.32861
445,0.35922
446,0.433386
447,0.35244200000000003
448,0.301282
449,0.30344699999999997
450,0.27415900000000004
451,0.315096
452,0.309537
453,0.27823600000000004
454,0.358468
455,0.377293
456,0.414922
457,0.36162
458,0.342052
459,0.32345
460,0.395072
461,0.355939
462,0.32577
463,0.247042
464,0.31603400000000004
465,0.282879
466,0.29196700000000003
467,0.293441
468,0.268464
469,0.384089
470,0.359327
471,0.389341
472,0.383897
473,0.323984
474,0.35596
475,0.33455300000000004
476,0.296831
477,0.29141300000000003
478,0.278902
479,0.273803
480,0.26293
481,0.303059
482,0.28886
483,0.38995599999999997
484,0.323542
485,0.285991
486,0.28079899999999997
487,0.322126
488,0.296865
489,0.265781
490,0.303037
491,0.26066300000000003
492,0.366189
493,0.360308
494,0.298835
495,0.277845
496,0.306517
497,0.279698
498,0.278708
499,0.24413200000000002
500,0.285521
501,0.277292
502,0.36091
503,0.341572
504,0.245966
505,0.25100300000000003
506,0.23917399999999997
507,0.293135
508,0.267428
509,0.284026
510,0.269361
511,0.373214
512,0.367279
513,0.343348
514,0.295521
515,0.305552
516,0.269119
517,0.30751100000000003
518,0.282639
519,0.27189
520,0.348132
521,0.35543600000000003
522,0.34679899999999997
523,0.323067
524,0.318316
525,0.297937
526,0.305811
527,0.289302
528,0.293833
529,0.377207
530,0.391729
531,0.329903
532,0.28729
533,0.30009600000000003
534,0.327223
535,0.23206
536,0.284401
537,0.270397
538,0.320228
539,0.355944
540,0.350555
541,0.265108
542,0.292097
543,0.26460900000000004
544,0.274391
