interval,hitsL3
0,264211.0
1,736190.0
2,2994060.0
3,434917.0
4,538483.0
5,2759130.0
6,3049510.0
7,2461920.0
8,212284.0
9,1353110.0
10,2442960.0
11,626311.0
12,365668.0
13,252333.0
14,577249.0
15,989921.0
16,587418.0
17,222419.0
18,716250.0
19,1002840.0
20,380827.0
21,240462.0
22,1450530.0
23,2564420.0
24,864228.0
25,2332750.0
26,2176520.0
27,2268890.0
28,2256800.0
29,811582.0
30,454371.0
31,217868.0
32,149224.0
33,781368.0
34,694380.0
35,207569.0
36,289658.0
37,298998.0
38,917320.0
39,689193.0
40,286206.0
41,331314.0
42,128355.0
43,588870.0
44,664872.0
45,370789.0
46,378458.0
47,174793.0
48,491607.0
49,437956.0
50,451989.0
51,367565.0
52,1990610.0
53,1992880.0
54,1162150.0
55,2557240.0
56,2125350.0
57,211059.0
58,1842870.0
59,1556740.0
60,2010360.0
61,713960.0
62,1406270.0
63,1836910.0
64,344180.0
65,567005.0
66,930441.0
67,368059.0
68,287952.0
69,287971.0
70,541326.0
71,752583.0
72,407860.0
73,289921.0
74,330648.0
75,635620.0
76,989814.0
77,445151.0
78,271789.0
79,301225.0
80,529259.0
81,755010.0
82,570479.0
83,288523.0
84,377192.0
85,547442.0
86,777326.0
87,658256.0
88,208360.0
89,311177.0
90,190234.0
91,752770.0
92,752192.0
93,2656660.0
94,3101090.0
95,299581.0
96,1705380.0
97,2626800.0
98,2821960.0
99,2417790.0
100,779689.0
101,2482160.0
102,1824160.0
103,1042980.0
104,3190750.0
105,2523020.0
106,2388130.0
107,1908860.0
108,724487.0
109,777151.0
110,446799.0
111,579807.0
112,2238720.0
113,2392290.0
114,2250820.0
115,2137970.0
116,2082510.0
117,1679200.0
118,1253030.0
119,826287.0
120,821341.0
121,2253790.0
122,2335910.0
123,1780080.0
124,2464800.0
125,2378010.0
126,1940590.0
127,289908.0
128,1980450.0
129,1833600.0
130,1988510.0
131,1909610.0
132,2159930.0
133,2045180.0
134,2078190.0
135,104049.0
136,2562340.0
137,1882800.0
138,1762300.0
139,1958370.0
140,289625.0
141,1868190.0
142,2471120.0
143,2040570.0
144,1781320.0
145,129593.0
146,88655.0
147,367154.0
148,691581.0
149,745246.0
150,130842.0
151,256654.0
152,557186.0
153,2181050.0
154,740400.0
155,172401.0
156,291540.0
157,499883.0
158,627778.0
159,102912.0
160,1866900.0
161,551423.0
162,1836640.0
163,2024780.0
164,568608.0
165,2389360.0
166,1563470.0
167,2011270.0
168,341966.0
169,543785.0
170,826345.0
171,562530.0
172,289772.0
173,287972.0
174,646086.0
175,690753.0
176,485250.0
177,250187.0
178,326116.0
179,547594.0
180,866900.0
181,619516.0
182,207830.0
183,324332.0
184,285642.0
185,643053.0
186,765097.0
187,215902.0
188,340726.0
189,241759.0
190,551348.0
191,728847.0
192,395204.0
193,296730.0
194,229357.0
195,455754.0
196,1153330.0
197,1346300.0
198,925270.0
199,1110330.0
200,1135660.0
201,769163.0
202,727220.0
203,151548.0
204,319507.0
205,228341.0
206,729802.0
207,691607.0
208,492369.0
209,336794.0
