interval,hitsL3
0,44752.0
1,800089.0
2,2087460.0
3,43277.0
4,863074.0
5,2116520.0
6,853153.0
7,2623650.0
8,534882.0
9,2271820.0
10,913663.0
11,1687880.0
12,1890480.0
13,924721.0
14,1757140.0
15,895397.0
16,1576310.0
17,1102350.0
18,1142850.0
19,1293550.0
20,1783470.0
21,908456.0
22,2256650.0
23,623270.0
24,2419000.0
25,873798.0
26,1941130.0
27,1582350.0
28,1463680.0
29,1399630.0
30,899504.0
31,2640480.0
32,761624.0
33,3397540.0
34,1123050.0
35,1707030.0
36,1982610.0
37,882360.0
38,1615220.0
39,833788.0
40,2857680.0
41,1334820.0
42,3329280.0
43,1173060.0
44,1145710.0
45,2143500.0
46,685017.0
47,1897970.0
48,745731.0
49,3215260.0
50,703545.0
51,2029850.0
52,1603180.0
53,954964.0
54,2547680.0
55,638507.0
56,2383070.0
57,609266.0
58,2758910.0
59,1012230.0
60,1660300.0
61,2473530.0
62,664003.0
63,2615260.0
64,725953.0
65,1655230.0
66,1027920.0
67,1620110.0
68,1864050.0
69,810582.0
70,2642940.0
71,1132410.0
72,2156940.0
73,1292490.0
74,962280.0
75,1323800.0
76,791952.0
77,2275360.0
78,638825.0
79,2203330.0
80,597572.0
81,1718460.0
82,1495750.0
83,847785.0
84,1459000.0
85,411012.0
86,1777250.0
87,560055.0
88,2057420.0
89,563076.0
90,1580080.0
91,1187440.0
92,911446.0
93,1853370.0
94,422873.0
95,899257.0
96,738192.0
97,2160690.0
98,512491.0
99,2015050.0
100,1541310.0
101,3313090.0
102,1278600.0
103,973809.0
104,2383290.0
105,689041.0
106,2044660.0
107,526928.0
108,2230580.0
109,534966.0
110,1898070.0
111,1279990.0
112,889484.0
113,1317350.0
114,829059.0
115,2299110.0
116,606338.0
117,2002260.0
118,627811.0
119,1748180.0
120,1533570.0
121,718302.0
122,1720430.0
123,548346.0
124,2454270.0
125,900633.0
126,1735360.0
127,963933.0
128,1518360.0
129,1777820.0
130,669597.0
131,2069930.0
132,344746.0
133,2403270.0
134,1149440.0
135,1823080.0
136,1686150.0
137,1329790.0
138,1695660.0
139,700494.0
140,2305120.0
141,1026860.0
142,2594460.0
143,749661.0
144,2089390.0
145,1585210.0
146,788683.0
147,2082730.0
