interval,IPC
0,1.86713
1,2.1731599999999998
2,2.24925
3,2.47951
4,2.16685
5,2.12364
6,2.2240599999999997
7,2.2348
8,2.21837
9,2.3121
10,2.06129
11,1.8838400000000002
12,2.16667
13,2.26324
14,1.9508
15,1.83388
16,2.21734
17,2.22431
18,1.71639
19,1.7366700000000002
20,2.0251099999999997
21,2.19407
22,1.5470899999999999
23,1.7894
24,1.9918900000000002
25,2.32286
26,1.54029
27,1.7869599999999999
28,2.04663
29,2.0173
30,1.64524
31,1.7751299999999999
32,1.9146599999999998
33,2.3085400000000003
34,1.8504599999999998
35,1.67839
36,1.82987
37,1.96812
38,2.02765
39,1.74394
40,2.07266
41,1.9297799999999998
42,2.04453
43,1.9603400000000002
44,1.6124100000000001
45,1.7862900000000002
46,2.0649599999999997
47,2.00128
48,1.64471
49,1.68697
50,2.01805
51,1.90735
52,1.61904
53,1.75278
54,1.81792
55,2.2844599999999997
56,1.74688
57,1.85464
58,1.9136
59,1.7559
60,1.7676
61,1.6473200000000001
62,1.85548
63,1.9548900000000002
64,1.76052
65,1.71279
66,1.8232599999999999
67,1.86663
68,1.79109
69,1.71557
70,1.55132
71,1.7108599999999998
72,1.82515
73,1.80853
74,1.73465
75,1.6773200000000001
76,1.71022
77,2.05947
78,2.04107
79,1.8696400000000002
80,1.65304
81,1.8945599999999998
82,2.05231
83,1.8593099999999998
84,1.7352599999999998
85,1.7148
86,1.90514
87,2.01748
88,1.74807
89,1.57255
90,1.8940400000000002
91,2.02477
92,1.84455
93,1.69839
94,1.94124
95,1.8625
96,1.7070299999999998
97,1.6808
98,1.7741200000000001
99,1.9506
100,1.87355
101,1.63867
102,1.8459400000000001
103,1.9635
104,1.90445
105,1.6165
106,1.71432
107,1.9239099999999998
108,1.8873400000000002
109,1.8354099999999998
110,1.73005
111,1.9409
112,1.8557700000000001
113,1.96547
114,1.79843
115,1.8786200000000002
116,1.9889299999999999
117,2.0643
118,1.7932099999999997
119,1.74452
120,1.9224
121,1.8678700000000001
122,2.10141
123,1.70618
124,1.7530299999999999
125,1.95974
126,2.06887
127,2.06047
128,1.8776400000000002
129,1.9433200000000002
130,1.9551599999999998
131,1.97097
132,1.82505
133,1.7959
134,1.87605
135,1.8682599999999998
136,1.8320400000000001
137,1.6006
138,1.82798
139,1.81128
140,2.01381
141,1.8566900000000002
142,2.01397
143,2.12526
144,2.42095
145,1.7369900000000003
146,1.7808400000000002
147,1.64756
148,1.6987299999999999
149,1.7642400000000003
150,1.59733
151,2.0183400000000002
152,2.40466
153,1.9501700000000002
154,1.78214
155,1.59051
156,1.9755
157,1.85405
158,1.81877
159,1.6550599999999998
160,1.60942
161,2.13558
162,1.98069
163,1.7329700000000001
164,1.8000200000000002
165,1.9768400000000002
166,2.1259900000000003
167,1.8430099999999998
168,1.8204599999999997
169,2.15171
