interval,IPC
0,2.22539
1,2.18205
2,2.15227
3,2.16978
4,2.10935
5,2.0914900000000003
6,2.11563
7,2.14792
8,2.1284799999999997
9,2.15191
10,2.1136
11,2.08351
12,2.13517
13,2.11406
14,2.1291700000000002
15,2.03829
16,2.94109
17,2.94747
18,1.9706099999999998
19,0.465508
20,0.580427
21,0.584124
22,0.487587
23,0.425572
24,0.582217
25,0.524928
26,0.446057
27,0.42307100000000003
28,0.584573
29,0.546871
30,0.510009
31,0.45961
32,0.52223
33,0.572917
34,0.604213
35,0.457309
36,0.491486
37,0.510948
38,0.546766
39,0.43615
40,0.566332
41,0.515858
42,0.548452
43,0.441213
44,0.473634
45,0.421946
46,0.545694
47,0.519659
48,0.49663900000000005
49,0.380197
50,0.547215
51,0.510223
52,0.505973
53,0.422746
54,0.473042
55,0.486091
56,0.553354
57,0.38145
58,0.514768
59,0.434166
60,0.5190279999999999
61,0.407887
62,0.46884799999999993
63,0.468571
64,0.49632299999999996
65,0.483271
66,0.5307029999999999
67,0.573106
68,0.515365
69,0.576404
70,0.501128
71,0.500306
72,1.7125299999999999
73,2.71387
74,2.61637
75,2.5768
76,2.55965
77,2.53238
78,2.5567
79,2.50047
80,2.47722
81,2.4880299999999997
82,2.4709
83,2.4455299999999998
84,2.4586099999999997
85,2.45839
86,2.44805
87,2.33914
88,1.15068
89,1.13612
90,1.14581
91,0.584992
92,0.578926
93,0.537107
94,0.542948
95,0.49670699999999995
96,0.45500100000000004
97,0.43647299999999994
98,0.48791
99,0.52341
100,0.48616099999999995
101,0.517211
102,0.486266
103,0.541321
104,0.5421520000000001
105,0.49568999999999996
106,0.470116
107,0.452953
108,0.5041180000000001
109,0.521807
110,0.497643
111,0.484038
112,0.47561099999999995
113,0.5049779999999999
114,0.49778599999999995
115,0.46621
116,0.459329
117,0.530638
118,0.501518
119,0.44423199999999996
120,0.4502
121,0.474972
122,0.520073
123,0.43099399999999993
124,0.422605
125,0.475975
126,0.5006
127,0.487133
128,0.44659899999999997
129,0.459129
130,0.441979
131,0.459772
132,0.476475
133,0.472703
134,0.430796
135,0.456705
136,0.556937
137,0.5367930000000001
138,0.580665
139,0.5760609999999999
140,0.557159
141,0.799425
142,0.7898
143,0.648554
144,0.768403
145,0.5530149999999999
146,0.5341899999999999
147,0.474009
148,0.5028699999999999
149,0.47868900000000003
150,0.513957
151,0.582167
152,0.713079
153,0.49853800000000004
154,0.5296069999999999
155,0.512208
156,0.524233
157,0.466552
158,0.592192
159,0.505115
160,0.49779300000000004
161,0.475609
162,0.569623
163,0.486151
164,0.487433
165,0.493667
166,0.551488
167,0.534621
168,0.465633
169,0.563699
