interval,hitsL3
0,9356.0
1,4625.0
2,6044.0
3,4899.0
4,4096.0
5,3066.0
6,5395.0
7,3731.0
8,3990.0
9,3508.0
10,3351.0
11,3324.0
12,3097.0
13,3318.0
14,3194.0
15,13025.0
16,4598.0
17,3381.0
18,742038.0
19,761546.0
20,994771.0
21,1069880.0
22,824913.0
23,642329.0
24,979955.0
25,938219.0
26,699477.0
27,632744.0
28,978318.0
29,916322.0
30,880327.0
31,745977.0
32,841446.0
33,966256.0
34,1065700.0
35,742183.0
36,800127.0
37,822511.0
38,913939.0
39,712271.0
40,1014770.0
41,848694.0
42,913563.0
43,756461.0
44,763860.0
45,679559.0
46,910044.0
47,922420.0
48,843999.0
49,600664.0
50,964147.0
51,883393.0
52,890627.0
53,745195.0
54,811457.0
55,865607.0
56,1010500.0
57,661537.0
58,910836.0
59,872706.0
60,921366.0
61,734239.0
62,809552.0
63,828180.0
64,884078.0
65,627932.0
66,56557.0
67,57850.0
68,53090.0
69,58964.0
70,53831.0
71,53677.0
72,6090500.0
73,18574000.0
74,20392300.0
75,21454000.0
76,21216800.0
77,22082900.0
78,22470600.0
79,23052500.0
80,22869400.0
81,23281100.0
82,23672500.0
83,23403500.0
84,23658800.0
85,24692400.0
86,24740900.0
87,21874300.0
88,95626.0
89,85159.0
90,451693.0
91,1812170.0
92,1564960.0
93,1374660.0
94,1338140.0
95,1276950.0
96,1178810.0
97,1005150.0
98,1157680.0
99,1288670.0
100,1334870.0
101,1304490.0
102,1380720.0
103,1399560.0
104,1541040.0
105,1221540.0
106,1343810.0
107,1235350.0
108,1328170.0
109,1313690.0
110,1360110.0
111,1246010.0
112,1156270.0
113,1123430.0
114,1164080.0
115,1049970.0
116,1050570.0
117,1130760.0
118,1044940.0
119,965713.0
120,902968.0
121,940447.0
122,1034360.0
123,842977.0
124,808584.0
125,918153.0
126,943040.0
127,952938.0
128,905284.0
129,907878.0
130,865667.0
131,914046.0
132,931201.0
133,910798.0
134,805376.0
135,702224.0
136,63154.0
137,60160.0
138,62102.0
139,59837.0
140,59166.0
141,832821.0
142,1840800.0
143,1513800.0
144,1652460.0
145,1256860.0
146,1086510.0
147,930829.0
148,1009320.0
149,998048.0
150,980988.0
151,1243660.0
152,1375040.0
153,970259.0
154,990536.0
155,958454.0
156,967509.0
157,933505.0
158,1099580.0
159,922855.0
160,895931.0
161,861673.0
162,1026760.0
163,867321.0
164,853500.0
165,885573.0
166,957703.0
167,951994.0
168,805046.0
169,1014790.0
