interval,IPC
0,0.78135
1,1.20151
2,2.35935
3,1.8777099999999998
4,1.15563
5,2.0142599999999997
6,2.46618
7,1.12371
8,1.55674
9,2.4486
10,2.46234
11,1.60416
12,1.20013
13,2.19205
14,2.43134
15,2.2435
16,0.954017
17,1.716
18,2.3345599999999997
19,2.27123
20,2.36705
21,1.23376
22,1.2947600000000001
23,2.19614
24,2.40555
25,2.4381
26,2.27659
27,1.52334
28,1.1812
29,2.1722900000000003
30,2.30491
31,2.32603
32,2.34745
33,1.8228
34,1.09253
35,1.89828
36,2.30571
37,2.3902200000000002
38,2.40497
39,2.281
40,1.22856
41,1.3255
42,2.3313900000000003
43,2.34035
44,2.32406
45,2.33217
46,2.3729299999999998
47,1.23355
48,1.30266
49,2.20247
50,2.37657
51,2.37197
52,2.32179
53,2.30755
54,2.2965
55,1.10535
56,1.43895
57,2.18323
58,2.32923
59,2.29708
60,2.33745
61,2.2732200000000002
62,2.26962
63,1.7286599999999999
64,1.11154
65,1.89063
66,2.24879
67,2.3265700000000002
68,2.30036
69,2.3111
70,2.2336400000000003
71,2.22485
72,1.58484
73,1.1466
74,1.9929
75,2.26019
76,2.2862400000000003
77,2.33302
78,2.35786
79,2.34125
80,2.27977
81,1.97574
82,1.0301200000000001
83,1.80246
84,2.2795799999999997
85,2.31462
86,2.32983
87,2.3667
88,2.28914
89,2.2559299999999998
90,2.33035
91,2.06236
92,0.981943
93,1.68702
94,2.3026400000000002
95,2.33473
96,2.27209
97,2.20606
98,2.29471
99,2.32709
100,2.31338
101,2.2846599999999997
102,2.0639
103,0.9826379999999999
104,1.7279200000000001
105,2.25268
106,2.28084
107,2.2761299999999998
108,2.28641
