interval,hitsL3
0,51355.0
1,57837.0
2,1221910.0
3,875576.0
4,52761.0
5,1174730.0
6,1597750.0
7,285892.0
8,254853.0
9,1471370.0
10,1795170.0
11,971557.0
12,51812.0
13,1190320.0
14,1887690.0
15,1694020.0
16,21377.0
17,563756.0
18,1963340.0
19,1980580.0
20,1843760.0
21,511190.0
22,96013.0
23,1701430.0
24,1852650.0
25,1797700.0
26,1863260.0
27,797730.0
28,61415.0
29,1495540.0
30,1864390.0
31,1816340.0
32,1954350.0
33,1035130.0
34,53219.0
35,1230720.0
36,2001580.0
37,1823740.0
38,1839070.0
39,1917990.0
40,227779.0
41,322415.0
42,1694750.0
43,1885080.0
44,1907770.0
45,1916790.0
46,1797660.0
47,168959.0
48,383774.0
49,1806600.0
50,1827320.0
51,1805430.0
52,1990120.0
53,1949510.0
54,1730420.0
55,23081.0
56,528927.0
57,1944250.0
58,1870460.0
59,1803340.0
60,1939590.0
61,1946210.0
62,1930940.0
63,413153.0
64,95294.0
65,1894160.0
66,1911180.0
67,1823220.0
68,1926040.0
69,1936620.0
70,1932400.0
71,1901030.0
72,20779.0
73,465312.0
74,1904620.0
75,1832010.0
76,1794580.0
77,1823670.0
78,1870500.0
79,1863720.0
80,1839000.0
81,19304.0
82,377561.0
83,1960140.0
84,1775520.0
85,1780260.0
86,1914520.0
87,2050690.0
88,1834260.0
89,1749040.0
90,1641840.0
91,28860.0
92,592384.0
93,1766250.0
94,1796130.0
95,2006790.0
96,1879140.0
97,1724980.0
98,1799140.0
99,1947670.0
100,1879030.0
101,1061700.0
102,49138.0
103,1248010.0
104,1887040.0
105,1788500.0
106,1794820.0
107,1976430.0
