interval,hitsperOccupL3(KB)
0,2363.6402027027025
1,1460.126488095238
2,4475.515625
3,1304.9936224489795
4,1433.6432926829268
5,1985.967741935484
6,3175.4829545454545
7,2565.689655172414
8,5218.035714285715
9,2146.2298387096776
10,2259.5863970588234
11,2886.262019230769
12,2345.473484848485
13,3523.3125
14,2889.939516129032
15,3788.739224137931
16,4046.875
17,1661.6666666666667
18,3374.809027777778
19,3063.9802631578946
20,1786.6722972972973
21,3541.974431818182
22,2756.075
23,2428.6298076923076
24,2850.9375
25,2646.5729166666665
26,2545.3629032258063
27,2909.0120967741937
28,2657.6724137931033
29,2984.026785714286
30,2903.4576612903224
31,2160.3846153846152
32,2940.0148809523807
33,1927.7620967741937
34,1921.03515625
35,3510.3804347826085
36,2596.7540322580644
37,1963.1666666666667
38,1145.1686507936508
39,3080.625
40,4271.036184210527
41,1838.390625
42,2550.556640625
43,2811.965460526316
44,3957.96875
45,2434.310344827586
46,1572.4662162162163
47,3362.1381578947367
48,1589.5833333333333
49,3125.5375
50,2319.08203125
51,2259.443359375
52,1932.7549342105262
53,2920.5040322580644
54,2220.871710526316
55,2978.292410714286
56,3504.296875
57,2780.6003289473683
58,2926.2335526315787
59,2373.660714285714
60,1439.1666666666667
61,2114.8125
62,1145.4520089285713
63,1799.6511627906978
64,2102.1875
65,1600.4188829787233
66,1672.6902173913043
67,2179.3675595238096
68,2099.8982558139537
69,2252.9138513513512
70,2328.7993421052633
71,3021.3571428571427
72,1758.0224609375
73,5128.6328125
74,1311.2872023809523
75,2625.978260869565
76,4551.671195652174
77,1329.9594907407406
78,2103.1831395348836
79,1516.4008620689656
80,1410.253537735849
81,2117.8257978723404
82,3181.015625
83,1765.0390625
84,1564.3039772727273
85,3663.849431818182
86,2133.9375
87,2437.0738636363635
88,1904.9568965517242
89,1949.9869791666667
90,2209.6354166666665
91,4384.007352941177
92,1953.0040322580646
93,2445.6060606060605
94,3275.1315789473683
95,1662.0744680851064
96,1577.154605263158
97,1736.501524390244
98,1342.728794642857
99,2542.564338235294
100,1430.96875
101,2095.1875
102,1725.4287790697674
103,2090.339095744681
104,2004.7165697674418
105,2837.0803571428573
106,2031.580357142857
107,2825.8152173913045
108,1786.546052631579
109,2657.2685185185187
110,3182.024456521739
111,2841.161858974359
112,2505.0607638888887
113,3283.125
114,2444.199695121951
115,2595.0819672131147
116,2338.8151041666665
117,3247.25
118,2099.9506578947367
119,2211.7723880597014
120,4891.1057692307695
121,2119.198717948718
122,1305.9451219512196
123,1964.0113636363637
