interval,hitsL3
0,23050800.0
1,7222630.0
2,8915280.0
3,1533340.0
4,1318860.0
5,1508070.0
6,1981520.0
7,1507000.0
8,1492920.0
9,2150770.0
10,2091100.0
11,2039460.0
12,2517160.0
13,2193060.0
14,2245500.0
15,2211950.0
16,2544120.0
17,3008840.0
18,2909920.0
19,2706210.0
20,3021900.0
21,3634090.0
22,3125730.0
23,3616050.0
24,3965900.0
25,2950550.0
26,4010780.0
27,4292730.0
28,3698020.0
29,3763420.0
30,3561110.0
31,3742090.0
32,3774200.0
33,3951790.0
34,2784000.0
35,3534140.0
36,3700800.0
37,3178840.0
38,5447400.0
39,4744920.0
40,5369700.0
41,4718620.0
42,4976370.0
43,5824900.0
44,5998410.0
45,5757570.0
46,4288110.0
47,3266320.0
48,4897750.0
49,3528880.0
50,3547050.0
51,3447660.0
52,3477570.0
53,4351840.0
54,4036100.0
55,3344100.0
56,2773840.0
57,3330830.0
58,2518190.0
59,3265240.0
60,4164240.0
61,3785690.0
62,4280790.0
63,3250810.0
64,3595560.0
65,3962900.0
66,4085000.0
67,3536300.0
68,4235560.0
69,4816900.0
70,5467750.0
71,4981040.0
72,3788320.0
73,3692370.0
74,2678660.0
75,3285050.0
76,3468220.0
77,2851270.0
78,2678890.0
79,2848300.0
80,3021070.0
81,2953370.0
82,3005240.0
83,3363860.0
84,3526160.0
85,3297970.0
86,4064080.0
87,3186230.0
88,3419510.0
89,3456730.0
90,3770220.0
91,4488620.0
92,4324810.0
93,3904860.0
94,4526330.0
95,4570620.0
96,4198340.0
97,3572120.0
98,3652850.0
99,4001430.0
100,4365750.0
101,4033760.0
102,4115020.0
103,4141200.0
104,4395740.0
105,4573240.0
106,4151830.0
107,4212580.0
108,4718930.0
109,4605250.0
110,5253310.0
111,5595300.0
112,4184690.0
113,4376590.0
114,4533810.0
115,3980090.0
116,4236960.0
117,4610590.0
118,4500010.0
119,4381460.0
120,5012550.0
121,4535240.0
122,4547680.0
123,4629850.0
124,4787190.0
125,4427470.0
126,4482130.0
127,4525130.0
128,4635650.0
129,4671710.0
130,4151400.0
131,4122280.0
132,4965020.0
133,7415840.0
134,6903930.0
135,6764680.0
136,6738400.0
137,7548640.0
138,6817510.0
139,7388620.0
140,7276530.0
141,7340640.0
142,7197160.0
143,7443320.0
144,7419710.0
145,7608070.0
146,6041160.0
147,5079170.0
148,5144760.0
149,5500510.0
150,5732120.0
151,5577670.0
152,5314190.0
153,5247830.0
154,4892530.0
155,4590420.0
156,4908080.0
157,4995930.0
158,4722820.0
159,4018570.0
160,4478660.0
161,4885010.0
162,5058960.0
163,5213610.0
164,5504380.0
165,5912760.0
166,4978350.0
167,5398430.0
168,5599070.0
169,5674910.0
170,6066200.0
171,6211080.0
172,6130660.0
173,6017360.0
174,5716470.0
175,5478900.0
176,5818540.0
177,6126500.0
178,5933890.0
179,6032510.0
180,6149900.0
181,6322110.0
182,6157580.0
183,5739500.0
184,6090190.0
185,6805150.0
186,6468090.0
187,6729570.0
188,7125920.0
189,7505500.0
190,7659500.0
191,7762730.0
192,7077550.0
193,6585620.0
194,6581410.0
195,8367120.0
196,6690880.0
197,6805410.0
198,6457150.0
199,6527550.0
200,7067480.0
