interval,hitsL3
0,189763.0
1,195434.0
2,145321.0
3,93668.0
4,289804.0
5,133936.0
6,266145.0
7,195598.0
8,100528.0
9,328615.0
10,213603.0
11,196242.0
12,49552.0
13,512408.0
14,130964.0
15,226176.0
16,479768.0
17,41735.0
18,71716.0
19,818757.0
20,141313.0
21,268426.0
22,120757.0
23,152588.0
24,128977.0
25,9099.0
26,71270.0
27,54914.0
28,902711.0
29,94317.0
30,287042.0
31,131093.0
32,205390.0
33,181019.0
34,174461.0
35,10473.0
36,30935.0
37,74812.0
38,29698.0
39,1485700.0
40,68743.0
41,278589.0
42,129084.0
43,160088.0
44,439728.0
45,43127.0
46,197475.0
47,11188.0
48,20255.0
49,81396.0
50,39339.0
51,980648.0
52,373479.0
53,64608.0
54,294716.0
55,124155.0
56,166529.0
57,541395.0
58,400920.0
59,313475.0
60,39043.0
61,84390.0
62,57730.0
63,18478.0
64,75162.0
65,1322810.0
66,99651.0
67,109839.0
68,134638.0
69,169200.0
70,400809.0
71,651556.0
72,680155.0
73,204752.0
74,100215.0
75,356292.0
76,54285.0
77,10230.0
78,8641.0
79,96114.0
80,65901.0
81,23676.0
82,48839.0
83,73872.0
84,1182520.0
85,2274400.0
86,90570.0
87,40197.0
88,197073.0
89,258415.0
90,222418.0
91,756766.0
92,984386.0
93,492364.0
94,116802.0
95,116481.0
96,230799.0
97,76419.0
98,69676.0
99,344356.0
100,180918.0
101,7266.0
102,9206.0
103,8906.0
104,115404.0
105,44129.0
106,25618.0
107,50284.0
108,93348.0
109,54336.0
110,3099200.0
111,1086800.0
112,109280.0
113,114664.0
114,21489.0
