interval,hitsperOccupL3(KB)
0,14.775727911646586
1,43.522629310344826
2,211.7515625
3,274.9263392857143
4,513.9174107142857
5,274.93981481481484
6,1329.4460227272727
7,86.13392857142857
8,340.09270833333335
9,852.0885416666666
10,315.6796875
11,86.08451257861635
12,184.4953125
13,335.7395833333333
14,810.244140625
15,166.05555555555554
16,376.8385416666667
17,973.55
18,297.7517361111111
19,89.800390625
20,127.671875
21,281.14351851851853
22,981.2980769230769
23,117.01620370370371
24,386.5027173913044
25,785.3557692307693
26,302.140625
27,134.1717289719626
28,247.06944444444446
29,266.34791666666666
30,1130.6458333333333
31,146.15
32,345.86625
33,613.23828125
34,283.8125
35,90.95559210526316
36,192.5827205882353
37,267.4546370967742
38,856.9166666666666
39,150.62926136363637
40,289.71117424242425
41,364.6887019230769
42,287.39638157894734
43,144.40528350515464
44,187.7703125
45,362.70516304347825
46,1139.421875
47,185.6640625
48,346.1
49,648.2979166666667
50,324.58203125
51,109.10218253968254
52,277.22222222222223
53,272.69642857142856
54,887.1323529411765
55,104.83559782608695
56,402.02840909090907
57,407.3984375
58,165.87723214285714
59,47.26180875576037
60,280.48383620689657
61,227.427734375
62,64.0104597107438
63,79.328125
64,288.71458333333334
65,686.2236842105264
66,164.9765625
67,317.96875
68,311.39547413793105
69,200.17916666666667
70,131.1664719626168
71,158.58854166666666
72,256.5791015625
73,873.90625
74,140.6690340909091
75,345.6875
76,745.325
77,225.12073863636363
78,82.614375
79,234.44021739130434
80,194.0665064102564
81,933.17578125
82,97.25568181818181
83,312.04398148148147
84,764.486328125
85,190.59722222222223
86,324.244212962963
87,613.2152777777778
88,302.5220588235294
89,184.44933712121212
90,212.05889423076923
91,239.43625
92,132.84103260869566
93,68.29895833333333
94,299.2071759259259
95,1023.4254807692307
96,194.91796875
97,359.61647727272725
98,458.5095108695652
99,234.86647727272728
100,156.26506024096386
101,146.64246323529412
102,225.0719696969697
103,889.640625
104,86.52083333333333
105,260.2405303030303
106,380.98020833333334
107,191.8380681818182
108,106.86666666666666
