interval,IPC
0,1.24315
1,1.28728
2,1.69503
3,1.7323400000000002
4,1.68592
5,1.7317200000000001
6,2.02126
7,2.01303
8,1.9915200000000002
9,1.97173
10,2.00352
11,2.01044
12,2.0455099999999997
13,1.87851
14,1.85695
15,1.8409200000000001
16,1.84712
17,1.94993
18,2.2298
19,2.12739
20,2.09935
21,2.08394
22,2.12951
23,2.12855
24,2.1556
25,1.29311
26,1.3015700000000001
27,1.93723
28,2.16974
29,2.14397
30,2.12534
31,2.14522
32,2.12489
33,2.17576
34,2.17787
35,2.20887
36,2.23031
37,2.1312
38,2.07056
39,2.07878
40,2.07523
41,2.1222
42,2.1341200000000002
43,2.36341
44,2.22641
45,2.2058400000000002
46,2.1922599999999997
47,2.17392
48,2.13478
49,2.11308
50,2.1873299999999998
51,2.18709
52,2.1907099999999997
53,2.26424
54,2.14588
55,2.15562
56,2.1469
57,2.12302
58,2.128
59,2.07355
60,1.9980099999999998
61,2.23037
62,2.32017
63,2.22998
64,2.1977900000000004
65,2.18838
66,2.14987
67,2.19631
68,2.17245
69,2.2122900000000003
70,2.1459599999999996
71,1.81828
72,1.3167799999999998
73,1.43271
74,2.34749
75,2.22131
76,2.19929
77,2.1883
78,2.16814
79,2.1644099999999997
80,2.13747
81,2.09308
82,2.1562
83,2.28428
84,2.1722099999999998
85,2.15853
86,2.14683
87,2.1341
88,2.13501
89,2.11625
90,2.0911299999999997
91,2.1287599999999998
92,2.31622
93,2.2516599999999998
94,2.2485
95,2.24933
96,2.21196
97,2.21382
98,2.20682
99,2.17845
100,2.19536
101,2.30799
102,2.20031
103,2.14374
104,2.19205
105,2.18056
106,2.15492
107,2.16436
108,2.12975
109,2.1128099999999996
