interval,hitsL3
0,123145.0
1,18401.0
2,558244.0
3,150191.0
4,146634.0
5,161773.0
6,848750.0
7,387054.0
8,247212.0
9,317888.0
10,232498.0
11,243905.0
12,693733.0
13,298064.0
14,304255.0
15,313037.0
16,312322.0
17,779139.0
18,419435.0
19,466410.0
20,461639.0
21,370441.0
22,441619.0
23,373872.0
24,895110.0
25,22378.0
26,26809.0
27,833756.0
28,519067.0
29,476060.0
30,524273.0
31,520611.0
32,509577.0
33,415445.0
34,479302.0
35,1007850.0
36,527418.0
37,410011.0
38,420720.0
39,484687.0
40,469567.0
41,430886.0
42,487576.0
43,821824.0
44,397809.0
45,407164.0
46,404654.0
47,397412.0
48,354709.0
49,455504.0
50,517776.0
51,535249.0
52,587222.0
53,981778.0
54,386037.0
55,534716.0
56,528600.0
57,449172.0
58,336780.0
59,401623.0
60,549252.0
61,895625.0
62,409561.0
63,575442.0
64,565051.0
65,399915.0
66,485552.0
67,393048.0
68,546096.0
69,429377.0
70,401243.0
71,684858.0
72,26340.0
73,706031.0
74,388484.0
75,526670.0
76,532497.0
77,432929.0
78,384194.0
79,414532.0
80,507685.0
81,395581.0
82,430367.0
83,851900.0
84,522440.0
85,375055.0
86,365435.0
87,489306.0
88,474763.0
89,401867.0
90,495015.0
91,757271.0
92,472121.0
93,416389.0
94,412761.0
95,403670.0
96,404762.0
97,408174.0
98,433357.0
99,505536.0
100,431805.0
101,702348.0
102,304704.0
103,387496.0
104,356611.0
105,360223.0
106,461637.0
107,443082.0
108,335108.0
109,723917.0
