interval,hitsperOccupL3(KB)
0,1277.28125
1,109.134375
2,405.2395833333333
3,inf
4,294.65277777777777
5,1283.40625
6,864.40625
7,76.69021739130434
8,275.87259615384613
9,238.29910714285714
10,inf
11,359.68402777777777
12,127.07986111111111
13,66.57201086956522
14,234.4609375
15,143.7234375
16,152.87673611111111
17,257.3125
18,164.32102272727272
19,480.0044642857143
20,299.67045454545456
21,591.275
22,338.925
23,88.01766304347827
24,1246.9479166666667
25,438.08984375
26,922.90625
27,308.296875
28,51.946875
29,211.5703125
30,207.43269230769232
31,210.84166666666667
32,568.2708333333334
33,386.7604166666667
34,1437.671875
35,298.98125
36,331.171875
37,603.4140625
38,inf
39,916.578125
40,163.09821428571428
41,781.171875
42,481.7232142857143
43,333.56944444444446
44,113.28515625
45,126.825
46,101.60532407407408
47,122.3913043478261
48,282.6458333333333
49,175.20703125
50,348.6510416666667
51,636.18125
52,470.9330357142857
53,inf
54,inf
55,192.6534090909091
56,310.4114583333333
57,272.9206730769231
58,427.6423611111111
59,255.87109375
60,73.83705357142857
61,219.36057692307693
62,190.325
63,220.74553571428572
64,339.890625
65,309.2578125
66,276.6363636363636
67,2920.125
68,478.125
69,293.10267857142856
70,1634.21875
71,755.9583333333334
72,161.20833333333334
73,824.3828125
74,397.02777777777777
75,252.33680555555554
76,114.13888888888889
77,182.6171875
78,148.97395833333334
79,149.00986842105263
80,1165.203125
81,inf
82,837.0625
83,385.8125
84,435.62109375
85,inf
86,1743.21875
87,214.01201923076923
88,1199.7604166666667
89,290.6927083333333
90,180.91118421052633
91,179.69140625
92,124.36079545454545
93,204.70982142857142
94,134.86363636363637
95,65.95238095238095
96,158.03125
97,166.225
98,208.46458333333334
99,1046.9583333333333
100,975.625
101,879.4375
102,inf
103,442.1927083333333
104,334.325
105,1655.546875
106,678.3125
107,131.80528846153845
108,134.05859375
109,163.97544642857142
