interval,IPC
0,1.2576399999999999
1,1.28167
2,1.7045299999999999
3,1.7183700000000002
4,1.7072900000000002
5,1.7266400000000002
6,2.0118099999999997
7,2.00893
8,1.9829599999999998
9,1.9409
10,1.97196
11,1.9920099999999998
12,2.05045
13,1.84305
14,1.8273400000000002
15,1.8187200000000001
16,1.8707599999999998
17,1.9933400000000001
18,2.1829099999999997
19,2.08252
20,2.05558
21,2.05801
22,2.0475
23,2.07152
24,2.0850400000000002
25,1.45573
26,1.29669
27,1.68777
28,2.2013700000000003
29,2.12281
30,2.10043
31,2.09318
32,2.1076200000000003
33,2.12951
34,2.1097900000000003
35,2.1519999999999997
36,2.20134
37,2.0966400000000003
38,2.03848
39,2.05208
40,2.05822
41,2.04684
42,2.06287
43,2.148
44,2.26628
45,2.18352
46,2.1648
47,2.11768
48,2.12394
49,2.13485
50,2.1279
51,2.10953
52,2.16645
53,2.19671
54,2.17119
55,2.1006299999999998
56,2.10512
57,2.07871
58,2.01888
59,2.02663
60,2.07895
61,2.09475
62,2.25581
63,2.25582
64,2.14659
65,2.13978
66,2.1297099999999998
67,2.089
68,2.0038400000000003
69,2.03919
70,2.1310700000000002
71,2.119
72,1.99207
73,1.30403
74,1.30798
75,2.1947
76,2.1337900000000003
77,2.1549099999999997
78,2.16119
79,2.10462
80,2.07809
81,2.0855200000000003
82,2.06272
83,2.0846299999999998
84,2.04982
85,2.18394
86,2.1052
87,2.1265099999999997
88,2.0548599999999997
89,2.0434200000000002
90,2.04407
91,2.04658
92,2.0413
93,2.1703200000000002
94,2.25985
95,2.10518
96,2.1619200000000003
97,2.1987099999999997
98,2.0857200000000002
99,1.9538799999999998
100,2.0414
101,2.12699
102,2.1326099999999997
103,2.18095
104,2.1612
105,2.1516
106,2.1569
107,2.10522
108,2.15181
109,2.10676
110,2.05536
111,2.12689
112,2.30307
