interval,IPC
0,1.57549
1,2.95877
2,2.9893099999999997
3,3.02127
4,2.9817400000000003
5,2.87063
6,2.94901
7,2.8650900000000004
8,2.85752
9,2.9245900000000002
10,3.00333
11,3.0172
12,3.01627
13,2.99752
14,2.95729
15,3.00674
16,3.01096
17,3.0030900000000003
18,1.34151
19,2.1091599999999997
20,2.35886
21,1.94094
22,2.40243
23,2.00035
24,2.77509
25,2.77866
26,2.8134
27,2.8032
28,2.81018
29,2.7960000000000003
30,2.82087
31,2.7915400000000004
32,2.80071
33,2.81041
34,2.81104
35,2.79294
36,2.79786
37,2.7694400000000003
38,2.74027
39,2.81268
40,2.81913
41,2.83161
42,2.8357900000000003
43,2.83682
44,2.83664
45,2.84133
46,2.8399099999999997
47,2.8409400000000002
48,2.83755
49,2.79847
50,2.81993
51,2.83553
52,2.85017
53,2.84515
54,2.84991
55,2.65689
56,0.9675040000000001
57,2.36738
58,2.3677
59,2.3637900000000003
60,2.36232
61,2.37568
62,2.37125
63,1.38705
64,2.34202
65,2.51744
66,2.54428
67,2.52541
68,1.4242
69,2.22385
70,2.47942
71,2.48575
72,2.4861400000000002
73,2.37975
74,1.6797799999999998
75,2.46421
76,2.55556
77,2.1259200000000003
78,1.36162
79,2.44411
80,2.44987
81,2.73351
82,1.4982600000000001
83,1.68052
84,2.56887
85,2.58698
86,2.06609
87,1.30637
88,2.37133
89,2.50055
90,2.63567
91,2.0828
92,1.44741
93,2.1221400000000004
94,2.6033
95,2.55384
96,1.80906
97,1.54859
98,2.53851
99,2.5556099999999997
100,2.11689
101,1.40855
102,2.3448900000000004
103,2.62303
