interval,IPC
0,1.37992
1,1.3803299999999998
2,1.38721
3,1.38564
4,1.3880000000000001
5,1.38561
6,1.38078
7,1.38796
8,1.38404
9,1.37964
10,1.38087
11,1.38695
12,1.3845
13,1.37837
14,1.37992
15,1.3846
16,1.38419
17,1.38087
18,1.37478
19,1.36802
20,1.36006
21,1.36091
22,1.34061
23,1.34143
24,1.3479
25,1.34501
26,1.35448
27,1.33883
28,1.34722
29,1.34243
30,1.34107
31,1.32617
32,1.3387
33,1.32465
34,1.2900399999999999
35,1.28772
36,1.28569
37,1.2668700000000002
38,1.2431
39,1.29742
40,1.28729
41,1.2864
42,1.28185
43,1.285
44,1.28389
45,1.29601
46,1.29434
47,1.2793299999999999
48,1.25394
49,1.27519
50,1.25686
51,1.26281
52,1.25222
53,1.27969
54,1.23879
55,1.23869
56,1.21028
57,1.22658
58,1.21694
59,1.21971
60,1.20716
61,1.2782799999999999
62,1.26229
63,1.21176
64,1.2101600000000001
65,1.21726
66,1.21956
67,1.21794
68,1.17747
69,1.14029
70,1.23225
71,1.2617399999999999
72,1.23612
73,1.2346
74,1.23128
75,1.22094
76,1.20543
77,1.1988299999999998
78,1.21468
79,1.21643
80,1.27755
81,1.2416200000000002
82,1.19976
83,1.2052200000000002
84,1.22059
85,1.21676
86,1.2111100000000001
87,1.22898
88,1.22407
89,1.2223700000000002
90,1.26504
91,1.2546899999999999
92,1.22327
93,1.22062
94,1.2151399999999999
95,1.21696
96,1.234
97,1.22428
98,1.2234399999999999
99,1.16594
100,1.11558
101,1.20092
102,1.25015
103,1.22837
104,1.2203
105,1.22107
