interval,IPC
0,0.793693
1,1.23716
2,2.48568
3,1.76797
4,1.21417
5,2.32216
6,2.51257
7,0.9634889999999999
8,1.8203099999999999
9,2.55706
10,2.57738
11,1.0992600000000001
12,1.61666
13,2.50948
14,2.56095
15,1.4983
16,1.2413
17,2.45922
18,2.57222
19,2.55615
20,1.5072299999999998
21,1.22583
22,2.4356299999999997
23,2.55471
24,2.5068900000000003
25,2.5099
26,1.20426
27,1.42792
28,2.4539400000000002
29,2.52582
30,2.484
31,2.40938
32,1.05675
33,1.5208899999999999
34,2.40539
35,2.46145
36,2.48256
37,2.4957
38,1.62394
39,1.1931399999999999
40,2.15576
41,2.47967
42,2.4889099999999997
43,2.45208
44,2.4901299999999997
45,1.2167299999999999
46,1.37129
47,2.38536
48,2.4607
49,2.3949700000000003
50,2.4523900000000003
51,2.4539299999999997
52,2.18161
53,0.971302
54,1.73595
55,2.39759
56,2.4481900000000003
57,2.43878
58,2.4091400000000003
59,2.45125
60,2.31754
61,0.9324680000000001
62,1.67995
63,2.42657
64,2.4134900000000004
65,2.45018
66,2.42104
67,2.42742
68,2.44903
69,1.4099899999999999
70,1.19411
71,2.3349599999999997
72,2.4005900000000002
73,2.44361
74,2.4586799999999998
75,2.3820900000000003
76,2.4500599999999997
77,2.4453
78,1.16679
79,1.39276
80,2.37264
81,2.38593
82,2.4438299999999997
83,2.44375
84,2.39253
85,2.4513
86,2.45495
87,2.23128
88,0.9506110000000001
89,1.67305
90,2.4211
91,2.44207
92,2.3939
93,2.43394
94,2.45077
95,2.37805
96,2.4485099999999997
97,2.44503
98,1.44224
99,1.1716600000000001
100,2.31657
101,2.40122
102,2.45425
103,2.46447
104,2.3824400000000003
