interval,hitsL3
0,36277.0
1,14765.0
2,75787.0
3,90612.0
4,77119.0
5,61078.0
6,32361.0
7,35982.0
8,101714.0
9,86229.0
10,81910.0
11,79769.0
12,19884.0
13,38574.0
14,77383.0
15,83910.0
16,78067.0
17,23587.0
18,36344.0
19,84609.0
20,86534.0
21,75762.0
22,33843.0
23,35131.0
24,96634.0
25,90052.0
26,106070.0
27,59046.0
28,20782.0
29,98679.0
30,82556.0
31,71899.0
32,48092.0
33,13019.0
34,65376.0
35,64298.0
36,60806.0
37,48444.0
38,33493.0
39,32627.0
40,85667.0
41,80503.0
42,75434.0
43,61857.0
44,19074.0
45,36863.0
46,80637.0
47,69319.0
48,60203.0
49,24094.0
50,31854.0
51,78089.0
52,80479.0
53,65140.0
54,36644.0
55,32254.0
56,91187.0
57,86741.0
58,79512.0
59,58184.0
60,21023.0
61,65238.0
62,81450.0
63,73638.0
64,48035.0
65,13915.0
66,66095.0
67,70761.0
68,79885.0
69,51908.0
70,32424.0
71,34675.0
72,84656.0
73,80785.0
74,63727.0
75,60311.0
76,20334.0
77,43020.0
78,74634.0
79,67020.0
80,56876.0
81,20809.0
82,40322.0
83,79028.0
84,70863.0
85,57449.0
86,36431.0
87,39055.0
88,93480.0
89,83550.0
90,79169.0
91,47242.0
92,18619.0
93,74692.0
94,80856.0
95,74765.0
96,39277.0
97,13635.0
98,75639.0
99,66595.0
100,73017.0
101,38380.0
102,32827.0
103,43661.0
104,87259.0
105,84508.0
106,76376.0
107,54580.0
108,19684.0
109,59482.0
110,85050.0
