interval,IPC
0,2.40863
1,2.4737400000000003
2,2.4763599999999997
3,2.46318
4,2.24585
5,2.6520599999999996
6,2.32231
7,2.66882
8,2.83521
9,2.26683
10,2.15331
11,2.3810599999999997
12,2.51917
13,2.62705
14,2.7217700000000002
15,2.8595
16,2.3633900000000003
17,2.24756
18,1.9416200000000001
19,2.2936900000000002
20,2.16394
21,2.36194
22,2.4731400000000003
23,2.59349
24,2.55381
25,2.59519
26,2.73391
27,2.82288
28,2.68384
29,2.55534
30,1.9043299999999999
31,2.35308
32,1.96005
33,2.19549
34,2.42092
35,2.12093
36,2.18929
37,2.49297
38,2.48011
39,2.53035
40,2.57056
41,2.5937200000000002
42,2.58337
43,2.5822
44,2.6657
45,2.81914
46,2.75995
47,2.8018099999999997
48,2.64988
49,2.6798900000000003
50,2.41395
51,2.53212
52,2.36999
53,2.56296
54,2.74237
55,2.83492
56,2.32435
57,2.2328900000000003
58,2.08148
59,2.1983900000000003
60,2.45154
61,2.54923
62,2.49685
63,2.7112
64,2.6840599999999997
65,2.7374099999999997
66,2.7488
67,2.80708
68,2.82881
69,2.39031
70,1.51671
71,2.3382099999999997
72,2.35321
73,1.9815
74,1.83128
75,2.23272
76,2.45781
77,2.2515099999999997
78,2.05524
79,2.34737
80,2.32405
81,2.51842
82,2.50807
83,2.48896
84,2.62682
85,2.69672
86,2.69645
87,2.65778
88,2.67232
89,2.6823099999999998
90,2.6303099999999997
91,2.7768599999999997
92,2.83262
93,2.70871
94,2.69951
95,2.74264
96,2.7332799999999997
97,2.20918
98,2.26986
99,1.7618599999999998
100,1.83401
101,2.32882
102,2.51675
103,2.3992299999999998
104,2.35193
105,2.24472
106,1.4606700000000001
