interval,hitsperOccupL3(KB)
0,12.57336956521739
1,463.844414893617
2,280.2629573170732
3,192.96271929824562
4,130.1262755102041
5,339.91015625
6,185.57258064516128
7,92.183125
8,221.99195075757575
9,140.36570945945945
10,178.5263888888889
11,56.00622406639004
12,68.12308673469387
13,186.9966856060606
14,398.9671052631579
15,122.01154891304348
16,266.84321120689657
17,171.67057291666666
18,185.24944196428572
19,593.309375
20,102.19243421052632
21,247.47313596491227
22,292.53885135135135
23,202.46073717948718
24,77.05901394422311
25,80.60505319148936
26,184.17447916666666
27,280.971875
28,99.12946428571429
29,130.65487637362637
30,811.2973484848485
31,194.67877906976744
32,103.53293010752688
33,85.99305555555556
34,136.57236842105263
35,424.416015625
36,207.26724137931035
37,302.0561224489796
38,1784.84375
39,419.48355263157896
40,140.6233173076923
41,1701.40625
42,363.681640625
43,527.25
44,235.4484375
45,634.5738636363636
46,6088.125
47,1204.7265625
48,907.865625
49,20409.84375
50,762.61875
51,1621.9625
52,13746.822916666666
53,796.9955357142857
54,1315.6160714285713
55,inf
56,1756.5208333333333
57,464.7307692307692
58,20042.916666666668
59,1060.03125
60,118.62664473684211
61,2255.6770833333335
62,2176.3333333333335
63,282.37425595238096
64,959.15625
65,784.5703125
66,277.02840909090907
67,880.16875
68,758.3333333333334
69,7300.375
70,258.9895833333333
71,913.25390625
72,4042.5416666666665
73,1313.9375
74,582.4453125
75,6156.71875
76,609.00625
77,1508.05625
78,2800.609375
79,1101.8984375
80,1972.28125
81,2019.05
82,882.725
83,1632.975
84,inf
85,4689.59375
86,217.29246794871796
87,883.05
88,705.9
89,372.52767857142857
90,730.1822916666666
91,1601.4921875
92,348.6546052631579
93,412.0044642857143
94,1145.078125
95,1250.9801136363637
96,280.8020833333333
97,789.35546875
98,4468.447916666667
99,190.01442307692307
100,1237.546875
101,inf
102,284.096875
103,3786.453125
104,inf
105,491.0729166666667
106,1006.3993055555555
107,1191.59375
108,780.54375
109,541.9761029411765
110,2413.5
111,1108.25625
112,187.30390625
