interval,hitsperOccupL3(KB)
0,1007.7618243243244
1,15.624451754385966
2,17.919084821428573
3,13.019825268817204
4,12.952799479166666
5,11.213
6,8.253396739130435
7,18.607371794871796
8,13.220186781609195
9,14.76201923076923
10,12.369166666666667
11,16.7109375
12,15.435141509433961
13,11.741883116883116
14,12.749348958333334
15,9.933876811594203
16,11.381648936170214
17,7.619140625
18,10.39236111111111
19,10.025914634146341
20,11.36530172413793
21,9.20730633802817
22,8.81294642857143
23,9.789366883116884
24,13.54719387755102
25,8.431962025316455
26,10.12953629032258
27,10.837357954545455
28,20.9734375
29,249.8125
30,38.53125
31,22716.30859375
32,47340.208333333336
33,37251.47405660377
34,37080.77830188679
35,28557.25
36,22025.216584158417
37,18721.40625
38,15160.754310344828
39,13624.611686390532
40,23619.926075268817
41,16354.699074074075
42,13597.594696969696
43,12234.30357142857
44,11412.039974619289
45,11050.613038277512
46,9774.051339285714
47,9375.13130252101
48,9284.72510373444
49,8394.157608695652
50,8735.433070866142
51,9121.913422131147
52,8246.356177606178
53,8466.578584558823
54,8276.865842490843
55,7677.931818181818
56,8353.947368421053
57,7638.55618466899
58,8619.907868525896
59,8594.258720930233
60,8648.6572265625
61,8647.562741312742
62,8979.489087301587
63,8444.500968992248
64,8790.599696356276
65,8195.606549815499
66,8982.715248962655
67,8304.723011363636
68,7820.587588028169
69,8159.965277777777
70,8192.783273381296
71,8228.701568265682
72,8123.858173076923
73,8436.88446969697
74,9353.098739495797
75,8182.565154440154
76,8675.91552734375
77,8460.36498091603
78,7944.833032490975
79,7648.143875838926
80,8501.490935114503
81,7668.784090909091
82,8865.35
83,7504.4597457627115
84,7765.979853479854
85,8703.33251953125
86,8836.091897233202
87,7853.550091911765
88,9581.822916666666
89,8744.075
90,8155.372191011236
91,8554.447115384615
92,8083.984375
93,8816.6625
94,8124.306818181818
95,7406.787280701755
96,9516.479700854701
97,8773.179133858268
98,8154.693308550186
99,8710.531965648855
100,9615.638412017168
101,7797.736672794118
102,8605.58638996139
103,9158.696209016394
104,8012.8419811320755
105,7895.0845195729535
106,8490.872641509433
107,8517.298228346457
