interval,IPC
0,2.39776
1,2.3300799999999997
2,2.3666400000000003
3,2.41223
4,2.3992299999999998
5,2.38258
6,2.3047299999999997
7,2.4618599999999997
8,2.40157
9,2.34479
10,2.36883
11,2.35943
12,2.42857
13,2.37997
14,2.36045
15,2.3778099999999998
16,2.43523
17,2.35085
18,2.3826099999999997
19,2.38828
20,2.3208900000000003
21,2.33213
22,2.3591599999999997
23,2.3131
24,2.27962
25,2.3313099999999998
26,2.3271599999999997
27,2.45191
28,2.4213
29,2.29639
30,2.3740099999999997
31,2.33569
32,2.32327
33,2.41758
34,2.34784
35,2.39652
36,2.3121099999999997
37,2.38844
38,2.2429799999999998
39,2.23667
40,2.42036
41,2.3779
42,2.36096
43,2.3250599999999997
44,2.3176400000000004
45,2.3370599999999997
46,2.43152
47,2.39425
48,2.37988
49,2.31992
50,2.37609
51,2.37488
52,2.34648
53,2.36782
54,2.3618799999999998
55,2.42004
56,2.32605
57,2.3475099999999998
58,2.37586
59,2.33228
60,2.31495
61,2.4025
62,2.42685
63,2.3408
64,2.34618
65,2.32349
66,2.3462400000000003
67,2.38337
68,2.32265
69,2.26707
70,2.0632200000000003
71,2.23152
72,2.29067
73,2.38503
74,2.3584
75,2.37377
76,2.3416799999999998
77,2.31556
78,2.42092
79,2.40302
80,2.35785
81,2.3463
82,2.35589
83,2.36808
84,2.31486
85,2.3776200000000003
86,2.33797
87,2.3528
88,2.43032
89,2.43534
90,2.3315799999999998
91,2.35938
92,2.3353200000000003
93,2.36481
94,2.4203200000000002
95,2.35845
96,2.3492
97,2.32897
98,2.40637
99,2.44063
100,2.2290799999999997
101,1.98922
102,2.09071
103,2.3801900000000002
104,2.3017
105,2.36734
106,2.36718
107,2.38524
108,2.2898
109,2.28492
110,2.52033
111,2.36895
112,2.38738
113,2.44702
114,2.39113
115,2.3808
116,2.3607299999999998
117,2.3466099999999996
