interval,hitsL3
0,507069.0
1,518036.0
2,587286.0
3,502590.0
4,705945.0
5,502860.0
6,506214.0
7,656045.0
8,507791.0
9,707623.0
10,507546.0
11,512664.0
12,654975.0
13,497702.0
14,653953.0
15,496269.0
16,452326.0
17,687674.0
18,560185.0
19,640141.0
20,486638.0
21,436608.0
22,641649.0
23,440519.0
24,534908.0
25,494757.0
26,419245.0
27,648160.0
28,435873.0
29,600497.0
30,428060.0
31,435434.0
32,597736.0
33,447877.0
34,611315.0
35,488890.0
36,493036.0
37,520269.0
38,401716.0
39,592346.0
40,453257.0
41,590743.0
42,445433.0
43,439715.0
44,605160.0
45,415841.0
46,609796.0
47,413872.0
48,464992.0
49,537876.0
50,445215.0
51,576631.0
52,450960.0
53,500130.0
54,514100.0
55,446987.0
56,561998.0
57,421094.0
58,403472.0
59,540370.0
60,416247.0
61,566564.0
62,427437.0
63,563216.0
64,389237.0
65,575854.0
66,377704.0
67,483323.0
68,467990.0
69,439720.0
70,527392.0
71,515418.0
72,426411.0
73,431721.0
74,536630.0
75,390832.0
76,568359.0
77,393560.0
78,549332.0
79,438387.0
80,542491.0
81,410640.0
82,483456.0
83,482272.0
84,411395.0
85,549923.0
86,418791.0
87,545170.0
88,437605.0
89,573059.0
90,462301.0
91,495167.0
92,611191.0
93,480236.0
94,643925.0
95,482010.0
96,712055.0
97,498199.0
98,563665.0
99,607643.0
100,467536.0
101,632848.0
102,455630.0
103,688716.0
104,490595.0
105,657260.0
106,564758.0
107,542630.0
108,594520.0
109,456545.0
110,681518.0
111,506791.0
112,584170.0
113,588744.0
114,513053.0
115,655176.0
116,440234.0
117,661990.0
118,461793.0
119,514939.0
120,641198.0
121,517486.0
122,657528.0
123,526399.0
