interval,hitsL3
0,69191.0
1,26200.0
2,29629.0
3,32382.0
4,28253.0
5,29476.0
6,32539.0
7,24780.0
8,27296.0
9,29235.0
10,28638.0
11,32386.0
12,32607.0
13,31197.0
14,30462.0
15,29243.0
16,26747.0
17,22984.0
18,59711.0
19,4786750.0
20,5865930.0
21,3049170.0
22,290275.0
23,141412.0
24,46742.0
25,47934.0
26,49846.0
27,44530.0
28,44882.0
29,44591.0
30,48587.0
31,56882.0
32,53752.0
33,52388.0
34,48709.0
35,53899.0
36,53993.0
37,55634.0
38,55400.0
39,44176.0
40,42066.0
41,54405.0
42,51635.0
43,51400.0
44,50229.0
45,48072.0
46,49724.0
47,46699.0
48,53230.0
49,51281.0
50,45520.0
51,41227.0
52,51208.0
53,46804.0
54,49650.0
55,54866.0
56,1678370.0
57,5888470.0
58,5850260.0
59,5834690.0
60,5834920.0
61,5841930.0
62,5161880.0
63,89536.0
64,441547.0
65,274277.0
66,191909.0
67,141517.0
68,1821330.0
69,5785240.0
70,5751020.0
71,5745380.0
72,5729800.0
73,2602040.0
74,466623.0
75,222326.0
76,269655.0
77,89210.0
78,274859.0
79,407682.0
80,225870.0
81,156774.0
82,134387.0
83,488920.0
84,191885.0
85,216877.0
86,110741.0
87,323524.0
88,365379.0
89,181293.0
90,224248.0
91,95565.0
92,296148.0
93,403387.0
94,217325.0
95,108025.0
96,117377.0
97,500553.0
98,191599.0
99,240340.0
100,108198.0
101,514812.0
102,197730.0
