interval,hitsL3
0,27578.0
1,29982.0
2,33496.0
3,34177.0
4,30003.0
5,32819.0
6,34121.0
7,28583.0
8,31853.0
9,33292.0
10,28538.0
11,31750.0
12,32906.0
13,30455.0
14,32684.0
15,30690.0
16,31304.0
17,27519.0
18,27637.0
19,32937.0
20,33276.0
21,32441.0
22,34516.0
23,34081.0
24,36118.0
25,36450.0
26,36544.0
27,33721.0
28,33681.0
29,30226.0
30,33270.0
31,33341.0
32,35518.0
33,34911.0
34,33670.0
35,32013.0
36,32309.0
37,30926.0
38,23019.0
39,19455.0
40,17987.0
41,20647.0
42,17957.0
43,10499.0
44,11345.0
45,11085.0
46,9651.0
47,9211.0
48,10229.0
49,9926.0
50,10092.0
51,8331.0
52,9754.0
53,10549.0
54,9555.0
55,9491.0
56,8736.0
57,9672.0
58,10415.0
59,9947.0
60,9481.0
61,8928.0
62,7207.0
63,8190.0
64,8685.0
65,7981.0
66,8163.0
67,8452.0
68,9767.0
69,9919.0
70,9299.0
71,9578.0
72,10035.0
73,8599.0
74,7162.0
75,8467.0
76,8186.0
77,8840.0
78,8450.0
79,7986.0
80,8233.0
81,8927.0
82,8438.0
83,7627.0
84,7623.0
85,6803.0
86,8827.0
87,8657.0
88,8630.0
89,8019.0
90,7777.0
91,9621.0
92,8322.0
93,8115.0
94,7630.0
95,7891.0
96,7758.0
97,7816.0
98,8606.0
99,7862.0
100,9477.0
