interval,hitsL3
0,29884.0
1,28042.0
2,32011.0
3,29337.0
4,23741.0
5,27212.0
6,33255.0
7,29336.0
8,31163.0
9,29255.0
10,27493.0
11,31536.0
12,31022.0
13,30105.0
14,29878.0
15,29490.0
16,28042.0
17,25217.0
18,30361.0
19,30824.0
20,31705.0
21,30830.0
22,27879.0
23,29408.0
24,28447.0
25,30104.0
26,29936.0
27,26823.0
28,26381.0
29,28665.0
30,30917.0
31,30045.0
32,25016.0
33,25934.0
34,26523.0
35,25837.0
36,26862.0
37,26883.0
38,23477.0
39,22999.0
40,25012.0
41,27799.0
42,28389.0
43,25029.0
44,26443.0
45,25742.0
46,25623.0
47,26794.0
48,25503.0
49,23705.0
50,22999.0
51,25345.0
52,28534.0
53,26522.0
54,27158.0
55,25377.0
56,25271.0
57,23407.0
58,25282.0
59,24600.0
60,22842.0
61,22297.0
62,25010.0
63,25509.0
64,24088.0
65,24833.0
66,24355.0
67,22582.0
68,23705.0
69,24228.0
70,23983.0
71,24828.0
72,21289.0
73,23791.0
74,24515.0
75,23716.0
76,23817.0
77,25382.0
78,24536.0
79,25175.0
80,25898.0
81,23098.0
82,24062.0
83,20702.0
84,25183.0
85,25024.0
86,25640.0
87,24634.0
88,24356.0
89,25288.0
90,25028.0
91,23335.0
92,24817.0
93,23524.0
94,21432.0
95,25173.0
96,23539.0
97,25739.0
98,24073.0
