interval,hitsL3
0,31612.0
1,31376.0
2,455810.0
3,10876.0
4,269057.0
5,803229.0
6,482134.0
7,504087.0
8,12332.0
9,284568.0
10,3494780.0
11,602715.0
12,624780.0
13,529225.0
14,684258.0
15,807403.0
16,4200210.0
17,880599.0
18,2564550.0
19,1131830.0
20,529877.0
21,2547230.0
22,1274290.0
23,604333.0
24,548365.0
25,685908.0
26,446851.0
27,558389.0
28,753274.0
29,481127.0
30,625046.0
31,539770.0
32,685424.0
33,484478.0
34,527298.0
35,813861.0
36,453955.0
37,572372.0
38,1951540.0
39,695848.0
40,1530270.0
41,599300.0
42,3804700.0
43,575825.0
44,601343.0
45,584717.0
46,676192.0
47,428465.0
48,4155410.0
49,690391.0
50,2405020.0
51,545992.0
52,563117.0
53,738191.0
54,446061.0
55,652804.0
56,3032950.0
57,1457180.0
58,1487500.0
59,3661680.0
60,787608.0
61,1206360.0
62,636508.0
63,544837.0
64,800438.0
65,449263.0
66,569243.0
67,1486210.0
68,431383.0
69,498197.0
70,639761.0
71,767604.0
72,457816.0
73,610373.0
74,695804.0
75,523175.0
76,785978.0
77,684003.0
78,675187.0
79,427607.0
80,588372.0
81,612089.0
82,1392760.0
83,1061770.0
84,2986330.0
85,931245.0
86,1094050.0
87,541576.0
88,643744.0
89,720268.0
90,635931.0
91,791767.0
92,743073.0
93,1314440.0
94,707331.0
95,3200480.0
96,1523000.0
97,1240270.0
98,794961.0
99,933225.0
100,687474.0
101,611087.0
102,825779.0
103,822161.0
