interval,hitsL3
0,4801.0
1,3585.0
2,3685.0
3,3616.0
4,3279.0
5,3775.0
6,3922.0
7,3582.0
8,3927.0
9,3727.0
10,3732.0
11,3476.0
12,4643.0
13,3334.0
14,3619.0
15,25654.0
16,3095.0
17,45237.0
18,1707090.0
19,1419920.0
20,1296350.0
21,1291660.0
22,1248970.0
23,1597380.0
24,1561060.0
25,1038690.0
26,1235060.0
27,1295620.0
28,995305.0
29,1212380.0
30,1595670.0
31,1799820.0
32,1451760.0
33,1329730.0
34,1757760.0
35,1574150.0
36,1334540.0
37,1915480.0
38,2021050.0
39,1449360.0
40,1625200.0
41,1387820.0
42,1545650.0
43,1613340.0
44,1630180.0
45,2161690.0
46,1608720.0
47,1561030.0
48,1654670.0
49,1492560.0
50,933284.0
51,88274.0
52,86736.0
53,84178.0
54,2414130.0
55,18697900.0
56,21049500.0
57,21979400.0
58,22450900.0
59,23045600.0
60,23518700.0
61,23921000.0
62,23746900.0
63,24162500.0
64,24479300.0
65,24112100.0
66,23614400.0
67,24679800.0
68,24647000.0
69,20298200.0
70,105953.0
71,102519.0
72,4065620.0
73,3434110.0
74,3520950.0
75,2763040.0
76,2488530.0
77,2807550.0
78,2795120.0
79,2553520.0
80,2715130.0
81,3099960.0
82,2814630.0
83,2405100.0
84,2747950.0
85,2596180.0
86,2446190.0
87,2366850.0
88,2656850.0
89,2740340.0
90,2547460.0
91,2381680.0
92,2506730.0
93,2243590.0
94,2267420.0
95,2320740.0
96,2478010.0
97,2520100.0
98,2290100.0
99,2363140.0
100,83740.0
101,81092.0
102,76314.0
103,81368.0
104,2352370.0
105,4394340.0
106,2949700.0
107,3026820.0
108,2782240.0
109,2590100.0
110,2657930.0
111,2684810.0
112,3126140.0
113,2950720.0
114,2571200.0
115,2414720.0
116,2359720.0
117,2430710.0
118,2647350.0
119,2445180.0
120,2792320.0
121,2759480.0
