interval,hitsL3
0,1882540.0
1,1216560.0
2,545870.0
3,392125.0
4,743705.0
5,799839.0
6,348120.0
7,414299.0
8,222054.0
9,942381.0
10,791325.0
11,778458.0
12,513859.0
13,365668.0
14,261317.0
15,605307.0
16,339067.0
17,459922.0
18,682497.0
19,495170.0
20,479547.0
21,622316.0
22,284263.0
23,331212.0
24,483154.0
25,365160.0
26,448705.0
27,429515.0
28,697683.0
29,458647.0
30,565287.0
31,596441.0
32,379444.0
33,572770.0
34,492568.0
35,363039.0
36,331342.0
37,338422.0
38,189824.0
39,458025.0
40,313333.0
41,386075.0
42,293241.0
43,298940.0
44,461499.0
45,403655.0
46,285484.0
47,285135.0
48,261370.0
49,13617.0
50,11776.0
51,28504.0
52,24867.0
53,14707.0
54,10558.0
55,25777.0
56,24600.0
57,14310.0
58,9246.0
59,22155.0
60,37313.0
61,14602.0
62,7349.0
63,9970.0
64,13376.0
65,30090.0
66,12743.0
67,8966.0
68,13357.0
69,1043940.0
70,574821.0
71,488386.0
72,676592.0
73,419511.0
74,537885.0
75,686051.0
76,448296.0
77,847712.0
78,841304.0
79,351781.0
80,738584.0
81,319347.0
82,359716.0
83,381328.0
84,468278.0
85,276349.0
86,546692.0
87,367802.0
88,405821.0
89,612924.0
90,474686.0
91,538131.0
92,412597.0
93,249700.0
94,550088.0
95,302528.0
96,747596.0
97,491733.0
98,518991.0
99,583016.0
100,398280.0
101,460775.0
102,520634.0
103,412321.0
104,343894.0
105,397954.0
106,324503.0
107,546105.0
108,532207.0
109,491193.0
110,626793.0
111,395320.0
