interval,IPC
0,1.49679
1,1.59566
2,1.59499
3,1.5997299999999999
4,1.58976
5,1.5929200000000001
6,1.59419
7,1.59542
8,1.58653
9,1.59169
10,1.5951
11,1.58809
12,1.58991
13,1.5903
14,1.56914
15,1.57654
16,1.58184
17,1.59289
18,1.58538
19,1.59091
20,1.57241
21,1.5919299999999998
22,1.5844799999999999
23,1.59334
24,1.58481
25,1.56597
26,1.5594700000000001
27,1.5254299999999998
28,1.5407
29,1.56511
30,1.56755
31,1.56716
32,1.55293
33,1.57231
34,1.52587
35,1.55588
36,1.52549
37,1.53829
38,1.51888
39,1.56036
40,1.5608
41,1.5407
42,1.55275
43,1.5646
44,1.56409
45,1.51854
46,1.52983
47,1.56661
48,1.55542
49,1.5645200000000001
50,1.55298
51,1.55849
52,1.55798
53,1.56223
54,1.53101
55,1.53125
56,1.5220200000000002
57,1.50278
58,1.52968
59,1.54863
60,1.5689899999999999
61,1.57718
62,1.57397
63,1.56341
64,1.5597
65,1.56152
66,1.5390000000000001
67,1.55136
68,1.57578
69,1.54629
70,1.56966
71,1.57575
72,1.57915
73,1.5685799999999999
74,1.57369
75,1.56598
76,1.57778
77,1.5551700000000002
78,1.55593
79,1.56643
80,1.5706
81,1.55417
82,1.55641
83,1.57535
84,1.55574
85,1.57661
86,1.5756700000000001
87,1.56466
88,1.56673
89,1.57502
90,1.5772700000000002
91,1.5709899999999999
92,1.56114
93,1.57609
94,1.5462799999999999
95,1.55721
96,1.57409
97,1.56264
98,1.57436
99,1.55687
100,1.5670899999999999
101,1.5782399999999999
102,1.57307
103,1.56969
104,1.57574
105,1.57417
106,1.564
107,1.57605
108,1.5595299999999999
109,1.5775
110,1.57808
