interval,hitsperOccupL3(KB)
0,772.0982142857143
1,2072.777777777778
2,1126.5266393442623
3,1768.587962962963
4,821.630993150685
5,805.556640625
6,908.0091145833334
7,9.821598101265822
8,850.1097972972973
9,1563.9695945945946
10,1201.1302083333333
11,1751.116898148148
12,1070.5493951612902
13,673.0791666666667
14,849.5597426470588
15,1601.3020833333333
16,1369.1875
17,2705.2321428571427
18,2319.521484375
19,571.9166666666666
20,775.91796875
21,1685.2849264705883
22,1936.4166666666667
23,1133.6904761904761
24,1224.8365384615386
25,833.2211538461538
26,724.6053571428571
27,1685.9191176470588
28,1399.9237804878048
29,2632.6696428571427
30,1409.3908898305085
31,997.5
32,730.775390625
33,1318.3025568181818
34,1680.4411764705883
35,3048.168103448276
36,1542.7741228070176
37,778.7555803571429
38,123.62680288461539
39,1704.899193548387
40,1306.8039772727273
41,1253.7867647058824
42,1710.6944444444443
43,880.5293367346939
44,108.08125
45,1205.6640625
46,1857.7520161290322
47,1582.157451923077
48,1430.535037878788
49,1088.013392857143
50,134.2304841897233
51,1166.7105263157894
52,1513.8404605263158
53,995.57421875
54,3391.8526785714284
55,724.2117537313433
56,188.17654639175257
57,1003.9296875
58,1851.8850806451612
59,1166.4134615384614
60,1038.7843406593406
61,1356.46875
62,221.80381944444446
63,939.8697916666666
64,1637.607142857143
65,1082.3320895522388
66,1423.2386363636363
67,1261.9414893617022
68,903.2747395833334
69,755.4983552631579
70,1907.4583333333333
71,906.8961148648649
72,1263.9708333333333
73,2031.54296875
74,932.3029891304348
75,562.745625
76,1639.5982142857142
77,1434.4105113636363
78,1114.0441176470588
79,2305.1814516129034
80,1086.786858974359
81,620.9810855263158
82,1477.9727564102564
83,1905.7395833333333
84,1247.7416666666666
85,2128.1167763157896
86,1128.2401315789473
87,589.3972039473684
88,1796.6935483870968
89,1406.6158536585365
90,2331.5707236842104
91,1819.7916666666667
92,1169.1554054054054
93,111.57179418103448
94,1593.3363970588234
95,1597.3090277777778
96,1110.698051948052
97,2412.097039473684
98,1147.2550675675675
99,135.7320243362832
100,1670.3013392857142
101,1848.3165322580646
102,2673.3229166666665
103,3266.3362068965516
104,1127.9420731707316
105,155.62097639484978
106,968.1891025641025
