interval,IPC
0,2.67105
1,2.35831
2,2.58061
3,2.52175
4,2.59273
5,2.5403
6,2.27116
7,2.3661
8,2.29412
9,2.4095
10,2.5428900000000003
11,2.48385
12,2.4659400000000002
13,2.55513
14,2.68071
15,2.62295
16,2.59076
17,2.70566
18,2.6570400000000003
19,2.5956099999999998
20,2.47353
21,2.68033
22,2.41843
23,2.5636200000000002
24,2.5495799999999997
25,2.73243
26,2.3782400000000004
27,2.41855
28,2.41539
29,2.56156
30,2.42818
31,2.49591
32,2.3439900000000002
33,2.7391900000000002
34,2.5494
35,2.5118
36,2.52679
37,2.5653
38,2.14628
39,2.35443
40,2.24228
41,2.5603599999999997
42,2.69504
43,2.51382
44,2.3790299999999998
45,2.60892
46,2.38829
47,2.44106
48,2.37151
49,2.55979
50,2.59591
51,2.45626
52,2.33162
53,2.36774
54,2.2639
55,2.3005299999999997
56,2.3812900000000004
57,2.31711
58,2.54
59,2.62111
60,2.5793
61,2.46862
62,2.31751
63,2.45266
64,2.39499
65,2.4002
66,2.48943
67,2.38215
68,2.39215
69,2.46
70,2.48106
71,2.45717
72,2.42155
73,2.41581
74,2.54504
75,2.54166
76,2.51314
77,2.45988
78,2.4022099999999997
79,2.37513
80,2.41578
81,2.55135
82,2.55198
83,2.62963
84,2.57594
85,2.51925
86,2.5451200000000003
87,2.6383799999999997
88,2.5119599999999997
89,2.5338
90,2.62291
91,2.7275400000000003
92,2.63492
93,2.60722
94,2.5424900000000004
95,2.60586
96,2.55415
97,2.39391
98,2.37463
99,2.53317
100,2.56622
101,2.5371
102,2.5122
103,2.5140599999999997
104,2.47638
105,2.60589
106,2.40073
107,2.56248
108,2.6324400000000003
109,2.39302
110,2.30524
111,2.4840400000000002
112,2.41459
113,2.55838
114,2.5251799999999998
115,2.5398400000000003
116,2.60486
