interval,hitsL3
0,716936.0
1,797424.0
2,60320.0
3,648581.0
4,813729.0
5,100309.0
6,216253.0
7,191479.0
8,334146.0
9,345770.0
10,481230.0
11,561255.0
12,36593.0
13,45877.0
14,164449.0
15,124383.0
16,134081.0
17,623517.0
18,59153.0
19,28480.0
20,38783.0
21,427070.0
22,32600.0
23,1217270.0
24,328054.0
25,771429.0
26,1377910.0
27,221476.0
28,132320.0
29,408861.0
30,691538.0
31,788801.0
32,916058.0
33,868287.0
34,323646.0
35,674101.0
36,712530.0
37,390806.0
38,115903.0
39,165357.0
40,313369.0
41,213864.0
42,158221.0
43,872945.0
44,230538.0
45,565673.0
46,238455.0
47,648983.0
48,163090.0
49,615273.0
50,1041630.0
51,316257.0
52,305847.0
53,456656.0
54,324655.0
55,444537.0
56,544385.0
57,636327.0
58,525214.0
59,665832.0
60,540896.0
61,523209.0
62,721738.0
63,765637.0
64,833708.0
65,741326.0
66,1501200.0
67,1206940.0
68,1061130.0
69,808388.0
70,1126000.0
71,1254420.0
72,992474.0
73,680647.0
74,596935.0
75,340888.0
76,832374.0
77,1124920.0
78,1104250.0
79,851638.0
80,749867.0
81,553818.0
82,586513.0
83,109598.0
84,24492.0
85,88062.0
86,40325.0
87,72001.0
88,448650.0
89,73920.0
90,169511.0
91,1111390.0
92,735370.0
93,576765.0
94,862154.0
95,676730.0
96,687301.0
97,650193.0
98,670583.0
99,668545.0
100,977538.0
101,756949.0
102,1235760.0
103,321152.0
104,644202.0
105,400318.0
106,556092.0
107,975180.0
108,877266.0
109,816500.0
110,1078770.0
111,785540.0
112,325142.0
113,553756.0
114,793524.0
115,899549.0
116,966373.0
117,848255.0
118,1097200.0
119,1314950.0
