interval,hitsperOccupL3(KB)
0,229.955
1,118.02941176470588
2,343.38118131868134
3,479.2798076923077
4,130.28184523809523
5,163.0200276243094
6,125.25548986486487
7,191.77089968152868
8,212.34699074074075
9,453.515873015873
10,320.09734195402297
11,245.9621710526316
12,326.6492275280899
13,678.7903225806451
14,184.5611607142857
15,396.27244718309856
16,158.3467345505618
17,168.53556485355648
18,320.6579483695652
19,165.55621408045977
20,352.5701121794872
21,299.7043010752688
22,313.8165760869565
23,319.871875
24,140.8404777486911
25,307.5885416666667
26,358.74197635135135
27,831.1534090909091
28,174.4774925595238
29,612.7519946808511
30,172.1122332317073
31,177.46387987012986
32,295.6183712121212
33,100.15696564885496
34,543.2588443396227
35,328.8380335365854
36,555.7740384615385
37,135.66121495327104
38,179.14772727272728
39,266.5318396226415
40,168.4921875
41,158.74505649717514
42,100.6057426199262
43,171.77722392638037
44,399.2803697183099
45,619.2633928571429
46,280.4984681372549
47,136.38427033492823
48,447.31349206349205
49,167.33173076923077
50,250.34142561983472
51,358.3621794871795
52,281.83907710280374
53,200.52785326086956
54,282.96
55,436.09759615384615
56,108.3017723880597
57,388.2222711267606
58,356.40868506493507
59,250.5533256880734
60,361.7329905063291
61,194.51698825503357
62,137.02818341121494
63,237.67798013245033
64,88.85987580128206
65,504.4731359649123
66,149.9996761658031
67,342.57732371794873
68,218.89985795454547
69,152.42599587912088
70,383.88666666666666
71,395.2183277027027
72,148.23553856382978
73,139.51436237373738
74,123.17592075892857
75,167.22113228699553
76,247.75027654867256
77,657.3040254237288
78,420.75347222222223
79,380.6313775510204
80,150.9356715425532
81,122.02133810572687
82,434.37127976190476
83,419.537037037037
84,577.0287698412699
85,371.61038961038963
86,619.2299107142857
87,173.06125621890547
88,522.6804577464789
89,355.951774691358
90,349.1626213592233
91,293.70814732142856
92,164.13335755813952
93,347.4710365853659
94,184.65958333333333
95,289.19921875
96,296.9915625
97,179.9865506329114
98,165.38805147058824
99,307.3541666666667
100,305.3775143678161
101,420.7891791044776
102,388.7010135135135
103,193.953125
104,383.14822635135135
105,294.50240384615387
106,552.03375
107,213.72014925373134
